angDist,#,rgeo,rpgeo
0.215474,420,2296.23145000,2272.58521000
0.074570,421,2647.84814000,2647.86157000
0.054943,422,6086.92090000,5956.97607000
0.043891,423,4531.65088000,4754.40918000
0.030072,424,2785.64404000,2811.58057000
0.160697,425,2386.03394000,2392.73291000
0.124033,426,2066.19702000,2052.20801000
0.130609,427,6082.77686000,6521.84814000
0.003667,428,5545.32422000,4967.47607000
0.002213,429,2699.34009000,2695.61719000
0.187373,430,5751.57324000,5062.62891000
0.231455,431,2403.74268000,2397.38013000
0.305169,432,7859.76660000,7254.04688000
0.032283,433,5027.20703000,4826.38818000
0.020807,434,3664.65088000,3592.78613000
0.100874,435,15357.61130000,14844.40330000
0.118106,436,10340.62790000,8963.37207000
0.220713,437,4592.03271000,4551.96436000
0.167042,438,3026.01416000,3005.17334000
0.217041,439,2912.85547000,2925.37451000
0.046215,440,6900.61719000,6803.47070000
0.043545,441,969.53210400,971.33862300
0.194067,442,4284.80322000,3915.96484000
0.048038,443,5669.27979000,3473.22949000
0.038405,444,6031.25098000,5291.89795000
0.110265,445,826.69104000,818.78216600
0.024492,446,2240.96558000,2290.36475000
0.028430,447,2182.03418000,2179.39404000
0.098650,448,4865.02539000,4642.80566000
0.063140,449,2712.85718000,2740.09277000
0.029098,450,2235.95996000,2258.30884000
0.251309,451,5607.77930000,5830.87744000
0.108183,452,5006.07568000,5022.21338000
0.025819,454,1531.11060000,1486.38513000
0.279263,455,6917.23877000,6340.29199000
0.342976,456,2480.58740000,2469.63477000
0.189993,457,2728.11157000,2699.74438000
0.129901,458,6829.57129000,6609.27930000
0.073117,459,5454.19385000,5198.19385000
0.027416,460,4838.40576000,5009.38184000
0.040891,461,6841.89209000,6007.35400000
0.300496,462,2314.77759000,2312.77368000
0.075265,463,4562.68359000,4614.40918000
0.086425,464,6935.93896000,6895.81543000
0.061066,465,832.17614700,827.18493700
0.321742,466,3436.02417000,3370.94385000
0.024785,467,1241.58215000,1240.59973000
0.107550,468,5726.97510000,4971.46924000
0.244320,469,2434.23438000,2451.44653000
0.062159,470,1972.46497000,1983.28259000
0.115821,472,3234.38623000,2544.67285000
0.064356,473,7900.54150000,5972.27100000
0.225235,474,2827.00049000,2775.41064000
0.014197,475,3091.41309000,3093.11694000
0.257784,476,3325.62354000,3267.97778000
0.051999,478,3642.79077000,3529.37183000
0.050113,479,3595.67334000,3425.44678000
0.108986,480,4449.31445000,4439.12256000
0.131244,481,3293.11084000,3421.21802000
0.087809,482,5100.33887000,5646.59375000
0.376619,483,2126.93335000,2124.09131000
0.043244,484,2352.07788000,2390.41870000
0.051150,485,1201.43054000,1208.38623000
0.213580,486,2211.63550000,2138.15576000
0.068264,487,6368.90479000,5842.88916000
0.025989,488,1987.06958000,1999.27930000
0.106982,489,4977.75537000,4712.27979000
0.061838,490,2021.56824000,2029.81934000
0.073830,491,764.12664800,762.81964100
0.045959,492,684.09515400,681.49121100
0.034626,493,969.73803700,977.23565700
0.021647,494,5188.27148000,5157.19482000
0.047008,495,2128.99512000,2111.19214000
0.054442,496,540.26641800,408.68127400
0.029805,497,2135.78320000,2147.30176000
0.029487,498,6221.27246000,5477.17578000
0.013416,499,2321.43115000,2292.47876000
0.052110,500,2053.63965000,1980.22363000
0.022790,501,6775.75732000,5282.98389000
0.078019,502,2015.92920000,2005.59302000
0.081261,503,6418.83545000,6369.27051000
0.043708,504,2238.42993000,2254.58643000
0.085112,505,6567.68311000,6469.57617000
0.159080,506,2479.25879000,2317.68799000
0.270178,508,137.78601100,137.91053800
0.177969,509,2378.95850000,2382.22534000
0.073047,510,2734.22998000,2672.99219000
0.223178,511,2420.36719000,2396.32300000
0.162123,512,2431.97217000,2416.52417000
0.282504,514,2279.49268000,2266.74658000
0.403516,515,2216.76147000,2191.69434000
0.153748,519,2114.58179000,2113.18286000
0.180399,521,2407.17407000,2256.74683000
0.447842,523,2200.79175000,2181.55396000
0.108248,524,7781.04541000,5900.81250000
0.047439,525,7282.06934000,7523.84668000
0.088646,527,5659.17383000,5177.23389000
0.106158,528,5061.21289000,4323.96436000
0.106390,530,3748.59863000,3582.08325000
0.056534,531,4878.64648000,4416.32812000
0.036327,533,2191.42505000,2183.26099000
0.459603,535,2107.74536000,2115.02075000
0.418575,537,2258.80396000,2270.97974000
0.087816,539,2514.12207000,2532.38184000
0.409313,540,2228.04736000,2215.70630000
0.059209,541,828.45874000,827.60449200
0.370920,542,2206.88013000,2193.84790000
0.086524,545,2180.74609000,2172.91895000
0.125675,546,6553.85693000,6386.85645000
0.094203,547,2150.87451000,2142.22852000
0.353087,548,2387.88013000,2383.05151000
0.291515,549,2321.91284000,2313.72070000
0.445021,550,2173.90015000,2156.39600000
0.075241,551,1280.13391000,1278.61536000
0.031523,555,2166.58130000,2180.17139000
0.036360,556,2853.05103000,3055.01685000
0.086458,557,2215.48120000,2227.73291000
0.042707,558,2691.38550000,2630.41211000
0.259858,559,1986.79077000,1990.97986000
0.142956,560,3594.29590000,3685.42993000
0.042069,561,4775.11475000,4592.86182000
0.094220,563,2405.73560000,1332.77393000
0.142924,564,3782.76025000,3673.45142000
0.023619,565,1998.58765000,1974.01074000
0.166000,566,6144.88086000,4886.42773000
0.227347,567,4998.01025000,5089.65771000
0.030233,568,917.07800300,921.64410400
0.093111,569,654.50628700,653.26751700
0.498448,570,2026.32935000,2033.78406000
0.057628,571,6938.34521000,6438.03711000
0.021444,572,6683.28711000,5531.08105000
0.080789,573,3616.26562000,3469.00537000
0.078336,574,4694.43750000,4525.34521000
0.059284,575,1218.33240000,1214.04407000
0.061197,576,2241.79126000,2207.30688000
0.053763,577,6901.41113000,5115.94189000
0.260563,578,2127.22144000,2164.95117000
0.079861,579,4886.04199000,5077.47803000
0.197533,580,3289.95459000,797.32373000
0.017633,581,2331.97974000,2278.80957000
0.057506,582,3784.09692000,3760.66675000
0.119672,583,6067.11670000,4224.90869000
0.058212,584,3974.42944000,3470.83179000
0.098659,585,336.05911300,336.18634000
0.075065,586,4881.30908000,4387.58740000
0.067754,587,5221.28467000,4615.19434000
