angDist,#,main_id,main_type,other_types,sp_type
0.111958,1403,HD 305827,Be*,*  |Be*|Em*|*  |IR,B3
0.164716,1404,HD 308104,Be*,*  |Be*|Em*|*  |IR,OB+e
0.910850,1406,Cl Pismis   17     3,Star,IR |*  |RNe|*iC,B2V
0.032243,1411,HD 305891A,Star,,
0.121270,1411,HD 305891,Be*,*  |Be*|Em*|**,B3Ve
0.047232,1412,HD 303763,Be*,*  |Be*|Em*|*  |IR,Be
0.034665,1413,HD  95972,Be*,Be*|Em*|UV |*  |IR,B2Vnn
0.021042,1414,HD 306016,Be*,*iC|Be*|Em*|*  |IR,B3
0.028800,1415,THA 35-III-51,Em*,*  |*  |Em*|** |*iA|*  |IR,B1.5Ve
0.178848,1416,HD 303776,Be*,*  |Be*|Em*|*  |IR,B8
0.000000,1417,CSI-61-11033  1,Star,*,B2Ve
0.000000,1418,CSI-61-11033  2,Star,*,B2Ve
0.057508,1419,HD  96357,Be*,** |*  |*  |Be*|Em*|UV |IR,B1.5Vne
0.044715,1420,HD  96485,Be*,Be*|Em*|*  |IR,B8/9II/III
0.014235,1423,HD 308217,**,** |*  |IR,B3
0.035546,1423,HD 308217A,Star,*  |**,
0.035050,1424,HD  96685,Be*,*  |Be*|** |IR |*iC|Em*,B8
0.019515,1425,HD  96728,Be*,Be*|Em*|UV |*  |IR,B8V(n)
0.056892,1426,CD-70   798,Be*,*  |Be*|Em*|*  |IR,Be
0.053156,1427,HD  96788,Be*,Be*|Em*|*,B8/9(IIp_sh)
0.027128,1428,HD  96822,Be*,Be*|Em*|*  |IR,B8IV/V
0.036736,1429,HD  96864,Be*,Be*|Em*|UV |*  |IR,B3/5(III)
0.021316,1430,HD  97032,Be*,Be*|Em*|*  |IR,B9Vn
0.077920,1431,HD 306085,Be*,*  |Be*|Em*|*,B9
0.452079,1432,HD 306111,Be*,*  |Be*|Em*|*  |IR,B2Ve
0.031783,1433,HD  97151,Be*,Er*|Be*|V* |HII|Em*|UV |*  |IR,B2Ve
0.165702,1434,HD  97253,SB*,SB*|*  |*iC|UV |*  |IR,O5III(f)
0.067406,1435,HD 306145A,Star,,
0.023125,1436,HD  97382,Be*,*  |Be*|Em*|*  |IR,B5/7
0.010817,1437,HD  97535,Be*,*  |Be*|Em*|** |UV |IR,B7Vn
0.007129,1438,HD  97580,Be*,Be*|Em*|UV |*  |IR,B8V
0.016754,1439,HD 306205,Be*,Be*|Em*|*  |IR,B1.5Vne
0.040112,1440,HD 306209,Be*,*  |Be*|Em*|*  |IR,B1Ve
0.013185,1441,HD  97726,Be*,EB*|*  |Be*|V* |Em*|IR,B9
0.027737,1442,HD  97792,Be*,Be*|Em*|UV |*  |IR,B2/3Vnne
0.025056,1443,HD 306267,Be*,*  |Be*|Em*|*  |IR,B1Ve
0.116697,1444,HD  98001,Be*,Be*|Em*|** |UV |*  |IR,B6Ve
0.006727,1445,* phi Leo,PM*,IR |PM*|*  |**,A5V
0.045693,1446,HD 306299,Star,*  |*  |IR,B5
0.014871,1447,HD  98624,Be*,*  |Be*|Em*|*  |IR,Be
