angDist,#,parallax,epsi,sepsi,ruwe
0.071978,421,0.3465,0.000,0.000e+00,0.985
0.039621,422,0.1339,0.000,0.000e+00,0.963
0.033415,423,0.2112,0.504,3.075e+02,5.337
0.031562,424,0.3355,0.092,1.367e+01,1.020
0.151024,425,0.3858,0.011,7.513e-02,1.015
0.146475,426,0.4680,0.109,2.566e+01,1.073
0.106648,427,0.1307,0.000,0.000e+00,1.102
0.021221,428,0.1523,0.000,0.000e+00,0.981
0.020941,429,0.3447,0.064,9.102e+00,0.932
0.165835,430,0.1452,0.000,0.000e+00,1.033
0.240978,431,0.3931,0.069,6.362e+00,1.014
0.292284,432,0.0937,0.000,0.000e+00,1.015
0.012732,433,0.1697,0.000,0.000e+00,1.022
0.017121,434,0.2381,0.000,0.000e+00,0.998
0.090756,435,-0.0450,0.281,9.020e+01,2.664
0.094276,436,0.0480,0.181,1.986e+01,1.647
0.220227,437,0.1873,0.000,0.000e+00,0.952
0.159134,438,0.2979,0.000,0.000e+00,0.993
0.211376,439,0.3085,0.000,0.000e+00,1.041
0.034215,440,0.1097,0.000,0.000e+00,1.002
0.014495,441,1.0024,0.148,1.585e+01,0.971
0.176017,442,0.2120,0.064,1.333e+00,1.113
0.049463,443,0.1620,0.488,1.282e+02,3.487
0.059191,444,0.1365,0.000,0.000e+00,1.001
0.213511,445,1.1991,0.252,1.040e+02,1.461
0.036921,446,0.4223,0.172,4.986e+01,1.052
0.046512,447,0.4338,0.102,1.637e+01,1.027
0.082362,448,0.1750,0.044,1.402e+00,1.093
0.060792,449,0.3468,0.091,1.616e+01,1.023
0.012644,450,0.4217,0.124,2.296e+01,0.986
0.238226,451,0.1443,0.000,0.000e+00,1.001
0.079480,452,0.1783,0.044,2.968e+00,0.882
0.037402,454,0.6291,0.200,6.396e+01,1.245
0.261903,455,0.1094,0.000,0.000e+00,1.023
0.339186,456,0.3699,0.000,0.000e+00,1.047
0.180434,457,0.3463,0.070,7.706e+00,1.064
0.109916,458,0.1133,0.000,0.000e+00,1.036
0.085889,459,0.1576,0.119,7.853e+00,1.239
0.005328,460,0.1509,0.614,5.443e+02,3.784
0.017770,461,0.1147,0.000,0.000e+00,0.991
0.281509,462,0.3994,0.000,0.000e+00,1.023
0.059411,463,0.1882,0.240,3.022e+01,1.737
0.081285,464,0.1130,0.000,3.376e-15,1.014
0.020202,465,1.1826,0.319,1.103e+02,1.874
0.325202,466,0.2690,0.121,2.509e+01,1.005
0.029811,467,0.7858,0.110,2.072e+01,0.942
0.128885,468,0.1500,0.000,3.231e-15,0.976
0.236946,469,0.3784,0.000,0.000e+00,1.023
0.043437,470,0.4839,0.205,4.758e+01,1.239
0.099407,472,0.3310,0.689,5.718e+02,5.014
0.034787,473,0.0808,0.048,2.885e-01,1.013
0.212924,474,0.3243,0.000,0.000e+00,0.929
0.024151,475,0.2991,0.102,1.733e+01,1.069
0.243064,476,0.2702,0.000,0.000e+00,0.960
0.050795,478,0.2434,0.000,0.000e+00,1.051
0.051586,479,0.2535,0.021,9.838e-02,1.022
0.089880,480,0.1944,0.011,8.607e-02,1.062
0.105442,481,0.2739,0.000,0.000e+00,1.047
0.082031,482,0.1604,0.000,0.000e+00,0.993
0.363184,483,0.4482,0.080,1.310e+01,1.091
0.038880,484,0.3993,0.092,1.200e+01,1.017
0.031210,485,0.8063,0.131,3.822e+01,1.035
0.194508,486,0.4386,0.095,1.163e+01,1.043
0.044825,487,0.1215,0.000,0.000e+00,1.037
0.027762,488,0.4682,0.079,5.855e+00,1.195
0.098566,489,0.1729,0.048,7.068e-01,1.003
0.048951,490,0.4674,0.145,3.379e+01,1.035
0.020349,491,1.2851,0.318,1.173e+02,1.373
0.030725,492,1.4314,0.156,3.977e+01,1.056
0.006560,493,0.9987,0.131,1.416e+01,0.945
0.029999,494,0.1587,0.000,0.000e+00,0.990
0.069399,495,0.4479,0.113,1.744e+01,1.072
0.045285,496,2.0048,3.148,7.033e+03,11.721
0.022454,497,0.4416,0.183,3.525e+01,1.019
0.043177,498,0.1295,0.000,0.000e+00,1.009
0.030715,499,0.4065,0.103,1.683e+01,0.999
0.031141,500,0.4772,0.393,2.006e+02,2.463
0.020753,501,-0.2161,1.123,1.948e+03,6.639
0.078024,502,0.4720,0.119,2.117e+01,1.184
0.097927,503,0.1218,0.015,1.784e-01,1.047
0.053345,504,0.4201,0.097,1.489e+01,1.078
0.081326,505,0.1259,0.000,0.000e+00,1.002
0.147104,506,0.3531,0.144,3.768e+01,1.183
0.134334,508,7.2220,0.534,2.620e+02,1.072
0.160311,509,0.3980,0.091,1.396e+01,0.999
0.060937,510,0.3505,0.137,3.010e+01,1.046
0.224185,511,0.3992,0.208,6.984e+01,1.618
0.172847,512,0.3865,0.109,1.783e+01,1.121
0.271231,514,0.4000,0.085,1.217e+01,1.017
0.385088,515,0.4225,0.000,3.970e-15,1.015
0.121649,519,0.4483,0.095,1.498e+01,1.076
0.191782,521,0.3688,0.113,2.270e+01,0.956
0.448139,523,0.4234,0.095,1.725e+01,1.016
0.129580,524,0.0901,0.000,0.000e+00,1.026
0.047986,525,0.0983,0.000,0.000e+00,0.982
0.105081,527,0.1550,0.000,0.000e+00,0.992
0.117020,528,0.1820,0.092,1.152e+00,1.055
0.111385,530,0.2386,0.000,0.000e+00,0.979
0.065352,531,0.1754,0.000,0.000e+00,0.971
0.041447,533,0.4341,0.122,2.383e+01,1.093
0.460039,535,0.4446,0.062,7.337e+00,0.922
0.422324,537,0.4203,0.109,1.777e+01,1.046
0.100043,539,0.3729,0.102,1.360e+01,1.013
0.408443,540,0.4249,0.108,1.875e+01,1.056
0.031590,541,1.1881,0.122,2.172e+01,1.139
0.365831,542,0.4299,0.098,1.804e+01,0.973
0.078543,545,0.4342,0.096,1.572e+01,1.139
0.142743,546,0.1111,0.056,1.062e+00,1.030
0.104523,547,0.4358,0.000,0.000e+00,0.955
0.355816,548,0.3983,0.104,1.826e+01,1.063
0.285309,549,0.4095,0.109,2.075e+01,0.998
0.426853,550,0.4391,0.061,6.283e+00,1.020
0.053573,551,0.7640,0.275,8.464e+01,0.995
0.025545,555,0.4357,0.094,1.255e+01,0.978
0.021208,556,0.5335,2.464,1.123e+04,17.506
0.101328,557,0.4327,0.105,1.790e+01,0.897
0.037052,558,0.3378,0.000,0.000e+00,0.986
0.255431,559,0.4789,0.083,8.526e+00,1.153
0.136825,560,0.2425,0.000,0.000e+00,0.992
0.059256,561,0.1809,0.000,0.000e+00,1.032
0.056022,563,0.5178,2.257,7.835e+03,16.029
0.142208,564,0.2288,0.000,0.000e+00,1.040
0.019254,565,0.4798,0.150,3.567e+01,1.283
0.162293,566,0.1381,0.000,0.000e+00,1.000
0.221354,567,0.1696,0.055,5.144e+00,1.140
0.023256,568,1.0657,0.084,1.101e+01,0.910
0.036250,569,1.5005,0.131,2.211e+01,0.953
0.489364,570,0.4692,0.072,8.437e+00,0.922
0.059610,571,0.1117,0.005,2.119e-02,1.053
0.002866,572,0.1235,0.074,1.325e+00,1.067
0.078138,573,0.2453,0.042,6.999e-01,1.074
0.074510,574,0.1801,0.096,4.439e+00,1.174
0.043951,575,0.7917,0.126,2.897e+01,1.220
0.065005,576,0.4173,0.000,0.000e+00,0.939
0.049464,577,0.1154,0.000,3.094e-15,0.987
0.280473,578,0.4477,0.410,2.558e+02,3.149
0.070321,579,0.1732,0.000,0.000e+00,0.999
0.194536,580,0.6101,6.432,4.499e+04,56.924
0.006175,581,0.3975,0.000,0.000e+00,0.990
0.062523,582,0.2236,0.028,8.206e-01,1.116
0.119173,583,0.1500,0.000,0.000e+00,1.016
0.046712,584,0.2400,0.000,0.000e+00,0.943
0.021215,585,2.9489,0.459,1.783e+02,1.734
0.087825,586,0.1747,0.000,0.000e+00,1.012
0.058270,587,0.1596,0.079,1.233e+00,1.041
0.098040,588,0.4423,0.094,1.395e+01,1.004
0.066590,589,0.1814,0.000,0.000e+00,0.993
0.243248,590,0.1594,0.000,0.000e+00,0.994
0.138698,591,0.2777,0.023,7.565e-01,1.058
0.209969,592,0.1187,0.035,1.307e+00,1.065
0.131061,593,0.1900,0.000,0.000e+00,1.027
0.035641,594,0.4260,0.082,9.412e+00,0.987
0.301454,595,0.4532,0.000,0.000e+00,0.960
0.029562,596,0.4049,0.084,1.132e+01,0.944
0.043229,597,0.3776,0.070,8.108e+00,0.927
0.062944,598,0.0874,0.065,7.233e-01,1.035
0.081417,599,0.4371,0.000,0.000e+00,0.972
0.057471,600,0.4554,0.056,1.426e+00,1.058
0.164891,601,0.3161,0.042,1.792e+00,1.120
0.175647,602,0.0748,0.000,0.000e+00,1.025
0.029864,603,0.1101,0.000,0.000e+00,1.016
0.035833,604,0.2478,0.000,0.000e+00,1.034
0.045905,605,0.1317,0.000,0.000e+00,1.036
0.082922,606,0.4634,0.000,0.000e+00,0.991
0.030287,607,0.1212,0.000,0.000e+00,1.002
0.076109,608,0.0564,0.000,0.000e+00,0.996
0.042483,609,0.1509,0.108,1.446e+00,1.053
