#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000_Gaia,_DEJ2000_Gaia,source_id,parallax,pmra_x,pmdec_x,Gflux,Gmag,BPflux,BPmag,RPflux,RPmag,radial_velocity,teff_val,a_g_val,radius_val,lum_val,gaia_id,_RAJ2000_gaia2dis,_DEJ2000_gaia2dis,rest,main_id,_RAJ2000_Simbad,_DEJ2000_Simbad,main_type,other_types,radvel,redshift,sp_type,plx,pmra_y,pmdec_y,B,V.1,R,J,H,K,u,g,r,i,z,_RAJ2000_CXO,_DEJ2000_CXO,2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,S/N,NHGal,HRhm,HRhs,HRms,_RAJ2000_XRT,_DEJ2000_XRT,2SXPS,CR0,HR_1,HR_2,PcstS0,FPO0,FPU0,_RAJ2000_XMM,_DEJ2000_XMM,Source,4XMM,Flux8,HR1,HR2,HR3,HR4,VarFlag,_RAJ2000_HMXB,_DEJ2000_HMXB,HMXB_Name,Type.1,Vmag,Porb,SpType,epsi,sepsi,Class,Flux1,Flux2,Flux3,Flux4,Flux5
21,IPHAS J003210.31+623929.2,Classical,00 32 10.31,62 39 29.20,,B6,,0,8.042927114,62.65811128,4.30741381070454e+17,0.2226,-2.254,-0.308,78167.7,13.455797,42824.2,13.772164000000002,53630.1,12.938399,,5707.0,1.9317,8.09,62.585,4.30741381070454e+17,8.042905984039999,62.65810995646,3941.7219275336297,[DP65] 15,8.0429271141,62.6581112815,Be*,*  |Be*|IR |Em*|Be*,,,B3-4Ve,0.2226,-2.25,-0.31,14.13,13.6,13.55,12.331,12.114,11.963,,,13.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
22,BD+62 99,Classical,00 32 13.23,63 12 28.96,10.94,Be,,2,8.055140622,63.20805391,4.30779279862524e+17,0.2959,-2.9730000000000003,-0.489,949151.0,10.745028,546688.0,11.007039,605744.0,10.306197000000001,,6276.0,,17.34,420.401,4.30779279862524e+17,8.05511222666,63.208051804200004,3059.57080746435,BD+62    99,8.0551406219,63.2080539104,Em*,Em*|IR |*  |V* |*iC,,,Be,0.2959,-2.97,-0.49,11.43,10.94,,9.667,9.398,9.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
23,IPHAS J003248.02+664759.6,Classical,00 32 48.02,66 47 59.60,,B3III,,0,8.200050646000001,66.79987616,5.27920204455592e+17,0.1165,-1.5530000000000002,0.02,34794.9,14.334576,10651.2,15.282896,36025.0,13.370410000000001,,4130.21,0.7958,,,5.27920204455592e+17,8.20003366853,66.79987624434,6556.7453159888,2MASS J00324800+6647596,8.2000506463,66.7998761585,Be*,IR |*  |Be*|Be*,,,B3e,0.1165,-1.55,0.02,,,,12.113,11.56,11.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036000000000000004,0.252,Em,,,,,
24,RX J0032.9-7348,Classical,00 32 56.11,-73 48 19.08,,Be,,0,,,,,,,,,,,,,,,,,,,,,,RX J0032.9-7348,8.23375,-73.8052777778,HMXB,HXB|X  |gam|HXB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMXB,,,,,
25,BD+61 122,Classical,00 35 00.31,62 26 53.88,10.39,B2Vpe,,2,8.7514915,62.44819329999999,4.30684721859552e+17,0.3095,-2.555,-0.591,1108020.0,10.577,707334.0,10.727327,625181.0,10.271906,,7648.74,1.242,12.22,460.26300000000003,4.30684721859552e+17,8.75146771838,62.44819075823001,2942.42022913491,BD+61   122,8.7514914997,62.448193303900005,Be*,Em*|Be*|IR |V* |*,,,B2V:pe,0.3095,-2.56,-0.59,10.71,10.39,,9.585,9.435,9.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
26,EM* AS 3,Classical,00 35 42.33,68 42 26.27,10.67,Be,,1,8.926390228999999,68.70728344,5.29645887951575e+17,1.0915,-1.0090000000000001,-1.507,1092880.0,10.591937,634366.0,10.845539,672674.0,10.192409,,6390.0,1.5733,4.86,35.515,5.29645887951575e+17,8.92637826529,68.70727695165,894.5240161881401,EM* GGR  192,8.9263902295,68.7072834423,Em*,Em*|EmO|*  |IR,,,Be,1.0915,-1.01,-1.51,11.12,10.67,,9.753,9.663,9.488999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.05e-15,Em,,,,,
27,IPHAS J003559.27+664503.3,Classical,00 35 59.27,66 45 03.31,,A0V,,0,8.996717577,66.75072767,5.27749707136081e+17,0.4116,-2.987,0.297,7321.25,16.026903,2957.42,16.674104999999997,6557.28,15.220111,,4392.0,,2.62,2.293,5.27749707136081e+17,8.99668499386,66.750728945,2279.2326295172,IPHAS J003559.27+664503.3,8.9967175767,66.7507276675,Be*,IR |*  |Be*|Be*,,,A0e,0.4116,-2.99,0.3,,,,14.11,13.708,13.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
28,IPHAS J004014.89+651644.0,Classical,00 40 14.89,65 16 44.00,,B2V,,0,10.06228681,65.27876555,5.27492700591664e+17,0.3525,-1.723,0.266,20283.7,14.920498,9168.68,15.445621,19158.7,14.056007000000001,,4819.07,,,,5.27492700591664e+17,10.062269070980001,65.27876669936,2624.67690980936,2MASS J00401493+6516435,10.0622166667,65.2787555556,Be*,Em*|Be*|*  |IR,,,B2e,,,,,15.1,,12.950999999999999,12.665,12.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46399999999999997,37.1,Em,,,,,
29,IPHAS J004121.36+650413.5,Classical,00 41 21.36,65 04 13.51,,,,0,10.33912337,65.07030229,5.2748572126416e+17,0.293,-2.225,0.622,53268.7,13.872186,24368.6,14.384312,44405.0,13.143341,,4924.0,,7.21,27.533,5.2748572126416e+17,10.339100645739999,65.07030497247,3098.82403384301,2MASS J00412139+6504130,10.339123371900001,65.0703022933,Be*,*  |Be*|IR,,,B,0.293,-2.23,0.62,,,,12.210999999999999,11.833,11.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149,5.54,Em,,,,,
30,EM* MWC 674,Classical,00 42 26.51,64 03 00.17,10.847999999999999,B0IIIpe,,1,10.61031523,64.05004615,5.23961000528617e+17,0.3506,-2.716,-0.39299999999999996,1541900.0,10.218228,629863.0,10.853273,1316700.0,9.463202,,4709.96,,36.49,590.2959999999999,5.23961000528617e+17,10.61028850033,64.05004446083001,2629.04468781754,EM* MWC  674,10.610315228200001,64.0500461508,Be*,EmO|Em*|*  |Be*|IR,,,B1IIIe,0.3506,-2.72,-0.39,11.536,10.847999999999999,10.5,8.463,8.13,7.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
