#,epsi,sepsi
562,0,0
563,1.884,1260
564,0.102,2.51
565,0,0
566,0,1.99E-15
567,0,0
568,0,0
569,0,0
570,0,0
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,0,1.99E-15
578,0.195,20.9
579,0,0
580,3.471,2000
581,0,0
582,0.147,7.5
583,0,0
584,0,0
585,0.193,10.9
586,0,0
587,0,0
588,0,0
589,0,0
590,0,1.04E-15
591,0,0
592,0,0
593,0,0
594,0,1.95E-15
595,0,0
596,0,0
597,0,0
598,0,0
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0,1.65E-15
605,0,0
606,0,1.10E-15
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,0.676,123
613,0,0
614,0.457,62.6
615,0,0
616,0.044,0.494
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,9.851,32800
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0,0
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
646,0.257,22.2
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0.454
664,0.595,147
665,0,0
666,0,0
667,0,0
668,0,0
669,0.133,5.96
670,0,0
671,3.136,3750
672,0.172,10.1
673,0,0
674,2.657,4670
675,0,0
676,0,0
677,0,0
678,0,0
679,0.438,6.54
680,0,0
681,0.497,114
682,,
683,0.124,6.2
684,0,0
685,0,0
686,0.09,3.31
687,0.121,5.58
688,0.199,8.28
689,1.673,825
690,0,0
691,0.088,2.97
692,0.508,141
693,0.413,60.2
694,1.901,1220
695,1.96,1590
696,2.543,1280
697,0.204,18.9
698,0.646,180
699,0,0.171
700,0,0
701,0,0
702,0,0
703,0,0
704,0.909,365
705,1.911,1240
706,0.152,11.7
707,,
708,0,0
709,1.98,1830
710,0,0
711,0,0
712,0,0
713,,
714,0,0
715,0,0
716,0.541,206
717,,
718,0,1.81E-15
719,0.17,14.2
720,0.112,5.56
721,0,0
722,0.395,69.9
723,0.187,15.6
724,0,0
725,0,0
726,0.567,65.7
727,0.2,20.5
728,0,0
729,1.638,1270
730,,
731,0.231,6.31
732,,
733,,
734,,
735,0.108,3.36
736,,
737,,
