Results from heasarc_chanmaster: Chandra Observations
Coordinate system:  Equatorial
|obsid|status    |name                |ra         |dec        |time               |detector|grating|exposure|type|pi         |public_date|_Search_Offset|
|17660|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2015-05-29 14:54:22|ACIS-I  |NONE   |   39460|GO  |Townsley   | 2015-05-31|             3.137 (84.56791666666669,-69.0658)|
|17898|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2016-03-28 22:05:58|HRC-S   |LETG   |   39170|GO  |Burrows    | 2017-04-01|            19.330 (84.56791666666669,-69.0658)|
|12540|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2011-09-21 08:21:21|ACIS-S  |HETG   |   39070|GO  |Burrows    | 2012-09-26|            19.330 (84.56791666666669,-69.0658)|
|23163|observed  |Brey 84             |05 38 42.03|-69 05 40.7|2020-02-20 14:45:03|ACIS-S  |HETG   |   38950|GTO |Canizares  | 2021-07-29|             2.876 (84.56791666666669,-69.0658)|
| 7271|archived  |SNR 0540-69.3       |05 40 11.20|-69 19 55.1|2006-02-18 02:35:50|ACIS-S  |NONE   |   38560|GO  |Park       | 2007-02-19|            18.950 (84.56791666666669,-69.0658)|
|22006|archived  |30 Doradus C        |05 36 17.50|-69 13 22.6|2018-12-19 02:28:25|ACIS-I  |NONE   |   38080|GO  |Lopez      | 2019-12-24|            14.167 (84.56791666666669,-69.0658)|
| 7264|archived  |30 Doradus          |05 38 42.40|-69 06 02.0|2006-01-30 15:05:22|ACIS-I  |NONE   |   38080|GO  |Townsley   | 2007-01-31|             3.127 (84.56791666666669,-69.0658)|
| 7621|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2007-09-11 01:54:05|ACIS-S  |LETG   |   37420|GO  |McCray     | 2008-09-17|            19.330 (84.56791666666669,-69.0658)|
|22424|observed  |SNR 1987A           |05 35 28.00|-69 16 11.1|2020-03-23 20:32:54|HRC-S   |LETG   |   37370|GO  |Burrows    | 2021-03-31|            19.330 (84.56791666666669,-69.0658)|
|19290|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2017-03-16 04:20:49|HRC-S   |LETG   |   37100|GO  |Burrows    | 2018-03-17|            19.330 (84.56791666666669,-69.0658)|
| 7636|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2007-01-19 23:02:16|ACIS-S  |NONE   |   36950|GO  |Burrows    | 2008-01-21|            19.330 (84.56791666666669,-69.0658)|
| 7590|archived  |Sn 1987A            |05 35 28.00|-69 16 11.0|2007-04-17 04:31:15|ACIS-S  |HETG   |   36130|GTO |Canizares  | 2008-04-18|            19.328 (84.56791666666669,-69.0658)|
| 5579|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2005-01-09 12:42:36|ACIS-S  |NONE   |   35140|GO  |Burrows    | 2006-01-14|            19.330 (84.56791666666669,-69.0658)|
|21844|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2018-09-16 13:56:55|ACIS-S  |HETG   |   35090|GO  |Burrows    | 2019-09-17|            19.330 (84.56791666666669,-69.0658)|
