#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS
607,IPHAS J024454.00+635608.0,Classical,02 44 54.00,63 56 08.02,,,,0
608,IPHAS J024504.86+612502.1,Classical,02 45 04.86,61 25 02.10,,B7IV,,0
609,IPHAS J024506.09+611409.1,Classical,02 45 06.09,61 14 09.10,,B3-4V,,0
610,IPHAS J024509.54+612523.5,Classical,02 45 09.54,61 25 23.48,,,,0
611,IPHAS J024519.10+633755.1,Classical,02 45 19.10,63 37 55.09,,,,0
612,IPHAS J024521.28+625416.2,Classical,02 45 21.28,62 54 16.20,,,,0
613,IPHAS J024540.61+592151.2,Classical,02 45 40.61,59 21 51.19,,B3,,0
614,IPHAS J024553.87+635414.7,Classical,02 45 53.87,63 54 14.69,,,,0
615,IPHAS J024618.12+613514.7,Classical,02 46 18.12,61 35 14.71,,B3V,,0
616,IPHAS J024735.56+615530.9,Classical,02 47 35.56,61 55 30.90,,B5,,0
617,IPHAS J024753.07+613405.8,Classical,02 47 53.07,61 34 05.81,,B3,,0
618,IPHAS J024758.73+630156.8,Classical,02 47 58.73,63 01 56.78,,,,0
619,IPHAS J024823.01+614728.1,Classical,02 48 23.01,61 47 28.10,,B5,,0
620,IPHAS J024823.69+614107.1,Classical,02 48 23.69,61 41 07.12,,B3V B4,,0
621,IPHAS J024838.04+630153.0,Classical,02 48 38.04,63 01 53.00,,,,0
622,IPHAS J024913.93+631042.4,Classical,02 49 13.93,63 10 42.38,,,,0
623,IPHAS J024928.47+595248.4,Classical,02 49 28.47,59 52 48.40,,,,0
624,IPHAS J024940.66+621424.8,Classical,02 49 40.66,62 14 24.79,,B5,,0
625,IPHAS J025016.65+624435.6,Classical,02 50 16.65,62 44 35.59,,B8-9III,,0
626,IPHAS J025059.12+615648.7,Classical,02 50 59.12,61 56 48.70,,B3-4V,,0
627,IPHAS J025102.21+615733.8,Classical,02 51 02.21,61 57 33.80,,B5IV,,0
628,HD 17505,Classical,02 51 07.98,60 25 03.87,7.1,O6Ve,126,264
629,BD+56 727,Classical,02 51 30.29,56 57 28.30,10.6,B5e,,3
630,IPHAS J025136.03+601557.5,Classical,02 51 36.03,60 15 57.49,,,,0
631,IPHAS J025200.23+621145.2,Classical,02 52 00.23,62 11 45.20,,B6,,0
632,IPHAS J025204.14+583423.4,Classical,02 52 04.14,58 34 23.41,,B7,,0
633,IPHAS J025233.24+615902.2,Classical,02 52 33.24,61 59 02.18,,B7V,,0
634,IPHAS J025324.51+614622.9,Classical,02 53 24.51,61 46 22.91,,,,0
635,IPHAS J025448.83+605832.1,Classical,02 54 48.83,60 58 32.09,,B6V,,0
636,IPHAS J025502.38+605001.9,Classical,02 55 02.38,60 50 01.90,,B7V,,0
637,IPHAS J025610.39+580629.6,Classical,02 56 10.39,58 06 29.59,,B5V,,0
638,IPHAS J025631.47+593648.4,Classical,02 56 31.47,59 36 48.38,,,,0
639,IPHAS J025700.47+575742.8,Classical,02 57 00.47,57 57 42.80,,B4V,,0
640,IPHAS J025704.89+584311.6,Classical,02 57 04.89,58 43 11.60,,B5V,,0
641,IPHAS J025737.78+624703.4,Classical,02 57 37.78,62 47 03.41,,,,0
642,IPHAS J025904.88+621459.5,Classical,02 59 04.88,62 14 59.50,,,,0
643,IPHAS J025935.04+603207.2,Classical,02 59 35.04,60 32 07.19,,,,0
644,IPHAS J025959.45+582929.5,Classical,02 59 59.45,58 29 29.51,,,,0
645,IPHAS J030010.27+613223.2,Classical,03 00 10.27,61 32 23.21,,,,0
646,HD 18552,Classical,03 00 11.89,38 07 54.27,6.119,B8Vne,288,559
647,IPHAS J030056.68+615940.7,Classical,03 00 56.68,61 59 40.70,,,,0
648,IPHAS J030120.82+602444.9,Classical,03 01 20.82,60 24 44.89,,,,0
649,IPHAS J030124.02+610221.3,Classical,03 01 24.02,61 02 21.30,,,,0
650,IPHAS J030133.63+593518.5,Classical,03 01 33.63,59 35 18.49,,B3,,0
651,HD 237056,Classical,03 02 37.88,57 36 46.06,8.9,B0.5Vpe,,51
652,IPHAS J030317.45+583402.0,Classical,03 03 17.45,58 34 01.99,,,,0
653,IPHAS J030331.33+585234.6,Classical,03 03 31.33,58 52 34.61,,,,0
654,IPHAS J030332.31+623856.7,Classical,03 03 32.31,62 38 56.69,,,,0
655,IPHAS J030422.01+574820.4,Classical,03 04 22.01,57 48 20.41,,,,0
656,IPHAS J030423.32+622900.9,Classical,03 04 23.32,62 29 00.89,,,,0
657,HD 237060,Classical,03 04 30.54,59 26 46.67,9.2,B9Ve,,26
658,IPHAS J030451.26+594758.8,Classical,03 04 51.26,59 47 58.81,,,,0
659,HD 18877,Classical,03 04 54.26,60 01 32.60,8.4,B7IIIe,,71
660,IPHAS J030501.73+585146.8,Classical,03 05 01.73,58 51 46.80,,,,0
661,IPHAS J030539.90+610725.6,Classical,03 05 39.90,61 07 25.61,,,,0
662,IPHAS J030625.00+614359.0,Classical,03 06 25.00,61 43 59.02,,,,0
663,HD 19818,Classical,03 08 26.08,-59 22 25.38,9.06,B9.5Vne,,7
664,V801 Cas,Classical,03 08 54.18,62 23 04.55,6.503,B1Ve,160,254
665,IPHAS J031141.73+614847.9,Classical,03 11 41.73,61 48 47.92,,,,0
666,IPHAS J031208.92+605534.5,Classical,03 12 08.92,60 55 34.50,,B4V,,0
667,IPHAS J031333.27+603307.1,Classical,03 13 33.27,60 33 07.09,,,,0
668,HD 19993,Classical,03 14 01.36,37 40 26.04,8.26,A7.5IIe,,35
669,HD 20017,Classical,03 14 55.31,48 41 44.87,7.91,B5Ve,,62
670,V803 Cas,Classical,03 15 10.93,59 54 42.83,9.03,B0.5IVnne,,6
671,HD 237091,Classical,03 15 16.75,59 54 49.15,8.91,B1Vnnpe,,196
672,HD 20340,Classical,03 15 45.87,-16 49 43.49,7.96,B3Ve,200,61
673,HD 20134,Classical,03 16 59.75,60 04 02.97,7.47,B2.5IVe,,261
674,BK Cam,Classical,03 19 59.27,65 39 08.25,4.728,B2.5Vne,328,403
675,HD 237118,Classical,03 20 01.19,59 51 50.74,9.42,B6Ve,,3
676,HD 20566,Classical or Herbig,03 23 33.10,71 25 06.76,7.94,B3Vne,,132
677,HD 20899,Classical,03 23 56.63,45 31 32.16,8.4,B9e,150,34
678,HD 237134,Classical,03 25 03.30,60 15 10.57,9.49,B5Ve,,26
679,Cl* Melotte 20 AP 163,Classical,03 27 49.90,48 04 45.08,18.81,Be,,0
680,CR Cam,Classical,03 28 39.19,62 29 34.80,8.31,B2Ve,,65
681,HD 21362,Classical,03 28 52.33,49 50 54.17,5.578,B6Vne,385,308
682,GSC 02342-00359,Classical,03 29 10.32,31 21 59.51,14.25,B5e,,0
683,HD 21455,Classical,03 29 26.28,46 56 16.32,6.227,B7Ve,150,270
684,BD+58 610,Classical,03 30 58.94,59 14 39.55,9.61,Be,,3
685,HD 21650,Classical,03 31 15.68,41 43 35.24,7.33,B6e,230,196
686,HD 21620,Classical,03 31 29.34,49 12 35.17,6.28,A0Vne,,160
687,HD 21641,Classical,03 31 33.14,47 51 44.70,6.773,B8.5Ve,184,124
688,BQ Cam,Classical,03 34 59.89,53 10 23.59,11.3,Be,,0
689,psi Per,Classical,03 36 29.38,48 11 33.48,4.31,B5Ve,275,2198
690,CT Cam,Classical,03 38 01.04,55 10 15.08,7.69,B2Vne,,429
691,EM* StHA 22,Classical,03 40 42.44,12 56 53.30,11.71,Be,,0
692,HD 22780,Classical,03 41 07.86,37 34 48.71,5.541,B7Vne,285,487
693,13 Tau,Classical,03 42 18.95,19 42 00.92,5.681,B9Vne,235,273
694,ELECTRA,Classical,03 44 52.54,24 06 48.01,3.705,B6IIIe,170,632
695,MEROPE,Classical,03 46 19.57,23 56 54.08,4.164,B6IVe,240,744
696,ALCYONE,Classical,03 47 29.08,24 06 18.49,2.873,B7IIIe,140,1121
697,HD 23552,Classical,03 48 18.08,50 44 12.37,6.15,B8Vne,220,158
698,PLEIONE,Classical,03 49 11.22,24 08 12.16,5.048,B8IVev,290,8394
699,HD 23800,Classical,03 50 25.07,52 28 54.85,6.98,B1IVe,,224
700,HD 23982,Classical,03 53 12.44,63 29 00.37,8.08,B3e,170,73
701,EM* MWC 465,Classical,03 53 58.25,46 53 51.77,10.19,B2IVnne,,2
702,EM* AS 77,Classical,03 54 47.93,44 56 19.67,11.15,Be,,1
703,V581 Per,Classical,03 56 20.36,44 56 14.95,7.78,B1.5Vne,,166
704,HD 24479,Classical,03 57 25.44,63 04 20.14,4.946,B9.5Ve,100,363
705,Menkhib,Classical,03 58 57.90,35 47 27.71,4.06,O7.5IIIe,213,4655
706,RW Tau,Classical,04 03 54.32,28 07 33.50,8.08,B8Ve,,165
707,EM* MWC 466,Classical,04 04 10.08,52 18 54.00,10.5,Be,,1
708,DE Cam,Classical,04 04 21.64,53 19 44.57,8.18,B1Vnnpe,,97
709,48 Per,Classical,04 08 39.69,47 42 45.04,4.003,B3Ve,197,375
710,HD 26398,Classical,04 11 03.40,16 38 49.13,6.98,B8e,180,218
711,V584 Per,Classical,04 12 36.47,42 07 06.33,8.02,B3e,180,144
712,V586 Per,Classical,04 17 16.37,46 13 49.97,7.98,B2e,220,58
713,EM* MWC 470,Classical,04 18 05.71,53 37 08.04,11.5,Be,,1
714,RW Per,Classical,04 20 16.77,42 18 51.81,9.72,A5Ve,,26
715,HD 27846,Classical,04 25 50.01,46 14 01.88,8.09,B1.5Ve,,35
716,228 Eri,Classical,04 29 06.93,-13 02 54.12,5.59,B2Vne,342,148
717,EM* MWC 473,Classical,04 36 54.79,53 52 33.96,11.46,Be,,1
718,HD 29035,Classical,04 36 59.08,52 17 13.46,8.78,B9.5Ve,,82
719,HD 29557,Classical,04 38 16.17,-24 39 30.79,8.56,B3Ve,355,29
720,V1150 Tau,Classical,04 38 36.24,08 10 30.62,7.63,B2.5Vne,,153
721,HD 29373,Classical,04 39 32.99,43 39 33.11,8.5,B6Ve,,78
722,56 Eri,Classical,04 44 05.32,-08 30 12.84,5.775,B2Ve,213,196
723,HD 29866,Classical,04 44 13.02,40 47 11.22,6.096,B8IVne,260,444
724,HD 30123,Classical,04 45 34.69,19 19 41.90,8.61,B8e,60,56
725,HD 276738,Classical,04 45 51.32,43 59 39.82,9.7,B7Ve,,23
726,ChOPS J044927.22+450443.8,Classical,04 49 27.22,45 04 43.79,,Be,,0
727,HD 30677,Classical,04 50 03.61,08 24 28.24,6.84,B0IIIe,151,174
728,HD 276886,Classical,04 50 11.24,41 40 37.91,9.51,Bpe,,3
729,2 Ori,Classical,04 50 36.72,08 54 00.65,4.353,A1Vne,218,204
730,[M2002] LMC 15664,Classical,04 52 52.80,-68 02 60.00,13.63,Be,,0
731,[O96] D025NE-5,Classical,04 54 11.86,-69 59 24.50,15.178,B2.2Ve,,0
732,[BE74] 496,Classical,04 59 24.00,-69 35 60.00,,Be,,0
733,[O96] D050NE-1b,Classical,04 59 54.70,-70 08 07.19,13.993,B0IIIe,,0
734,[O96] D050NE-10,Classical,04 59 57.04,-70 09 38.81,15.787,B2Ve,,0
735,V1153 Tau,Classical,05 02 15.89,24 01 44.99,8.36,B1Ve,,63
736,AL 56,Classical,05 02 28.80,-68 37 12.00,,Bpe,,0
737,[BE74] 506,Classical,05 02 36.00,-71 19 48.00,,Be,,0
738,HD 32188,Classical,05 03 18.64,41 26 29.93,6.119,A2IIIshe,23,337
739,HD 32358,Classical,05 04 44.15,44 57 30.99,9.34,B6Ve,,57
740,[BE74] 200,Classical,05 05 24.00,-67 52 12.00,,Be,,0
741,11 Cam,Classical,05 06 08.45,58 58 20.54,5.03,B2.5Ve,95,386
742,HD 33599,Classical,05 07 12.95,-61 48 18.27,8.97,B2Vpe,200,10
743,105 Tau,Classical,05 07 55.44,21 42 17.37,5.92,B2Ve,200,211
744,HD 33453,Classical,05 08 26.45,-40 54 44.72,8.03,B8Vne,290,3
745,lam Eri,Classical,05 09 08.78,-08 45 14.69,4.249,B2IVne,318,766
746,V413 Aur,Classical,05 09 56.43,37 00 16.01,8.13,B1Ve,,227
747,V414 Aur,Classical,05 10 48.20,41 00 10.42,8.24,B2Vne,300,41
748,SX Aur,Classical,05 11 42.93,42 09 55.28,8.55,B1Vne,,116
749,HD 277707,Classical,05 12 11.62,39 33 20.38,10.41,Bpe,,2
750,V415 Aur,Classical,05 12 14.50,41 12 54.74,7.82,B2Vnne,,44
751,HD 241570,Classical,05 12 53.95,21 58 02.15,10.29,B5ne,,2
752,V416 Aur,Classical,05 13 13.33,40 11 36.71,7.38,B2Vpe,,68
753,[L72] LH 39-17,Classical,05 14 06.04,-69 32 27.89,15.23,B0.5Ve,,0
754,[L72] LH 39-21,Classical,05 14 13.22,-69 33 24.41,14.099,B1IIIe,,0
755,[L72] LH 39-23,Classical,05 14 14.93,-69 31 45.91,15.54,B2IIIe,,0
756,EM* MWC 485,Classical,05 14 27.00,32 48 02.16,11.5,Be,,1
757,EM* CDS 477,Classical,05 15 02.45,36 41 54.99,11.1,B1Vpe,,0
758,RX J0516.0-6916,Classical,05 16 00.10,-69 16 09.12,15,Be,,0
759,12 Aur,Classical,05 16 27.08,46 24 57.83,6.95,B5e,,466
760,HD 34257,Classical,05 17 35.69,33 35 36.55,8.1,B5e,220,55
761,[HP99] 946,Classical,05 20 30.89,-69 31 54.84,14.4,O8e,,0
762,MZ Aur,Classical,05 20 33.04,36 37 56.03,8.16,B1.5IVnpe,,147
763,AN Col,Classical,05 21 16.86,-34 20 42.19,6.065,B2Vnpe,350,26
764,V1369 Ori,Classical,05 21 19.31,04 00 43.01,6.52,B5Vpe,215,263
765,V420 Aur,Classical,05 22 35.23,37 40 33.64,7.45,B0IVpe,,232
766,[BE74] 570,Classical,05 22 35.78,-70 24 12.38,11.28,Be,,3
767,Cl* NGC 1893 SPOP h,Classical,05 22 43.02,33 25 05.39,13.5,Be,,0
768,Cl* NGC 1893 CUF 3104,Classical,05 22 46.08,33 24 57.82,13.91,B1.5Ve,,0
769,HD 280999,Classical,05 23 14.89,37 42 53.70,9.93,Be,,2
770,BI 156,Classical,05 23 40.80,-71 07 48.00,12.87,Be,,0
771,eta Ori,Classical,05 24 28.62,-02 23 49.73,3.38,B0.5Ve,170,715
772,25 Ori,Classical,05 24 44.83,01 50 47.20,4.873,B1Vpe,263,447
773,HD 35347,Classical,05 25 17.83,29 36 53.62,8.93,B1Ve,,9
774,HD 35345,Classical,05 25 44.78,35 38 49.92,8.43,B1Vpe,,157
775,[O96] L54N-18,Classical,05 26 08.78,-67 26 34.69,15.461,O6Ve,,0
776,[O96] L54S-13,Classical,05 26 19.96,-67 30 01.58,14.64,B0.5Ve,,0
777,[O96] L54N-3,Classical,05 26 23.73,-67 29 07.01,13.841,B1IIIe,,0
778,[O96] L54S-15,Classical,05 26 24.11,-67 30 33.52,14.645,O8Ve,,0
779,Cl* NGC 2004 MHFBE 118313,Classical,05 26 55.94,-67 11 27.09,15.04,B1IIIe,197,2
780,Cl* NGC 2004 MHFBE 103914,Classical,05 27 15.22,-67 14 10.15,15.03,B1IIIe,368,2
781,Cl* NGC 2004 MHFBE 110827,Classical,05 27 28.58,-67 12 56.81,14.93,B1Ve,195,2
782,Cl* NGC 2004 MHFBE 136844,Classical,05 27 35.24,-67 07 54.43,15.15,B1IIIe,348,1
783,Cl* NGC 2004 MHFBE 55920,Classical,05 27 42.26,-67 23 36.58,16.08,B1Ve,120,2
784,IU Aur,Classical,05 27 52.40,34 46 58.25,8.39,B3Vnne,,66
785,AL 207,Classical,05 28 00.00,-67 31 12.00,12.93,Be,,1
786,Cl* NGC 2004 MHFBE 116297,Classical,05 28 06.02,-67 11 47.43,16.14,B1Ve,226,2
787,[BE74] 588,Classical,05 28 07.20,-70 34 48.00,,Be,,0
788,Cl* NGC 2004 MHFBE 140012,Classical,05 28 13.28,-67 07 20.77,14.94,B1.5IIIe,246,2
789,[MLD95] LMC 1-846,Classical,05 28 21.00,-70 58 04.08,13.82,O9Ve,,0
790,[BE74] 589,Classical,05 28 24.00,-70 58 48.00,,Be,,0
791,Cl* NGC 2004 MHFBE 118784,Classical,05 28 27.56,-67 11 28.50,14.79,B1IIIe,388,2
792,Cl* NGC 2004 MHFBE 72704,Classical,05 28 29.43,-67 20 20.10,14.86,B1.5IIIe,108,0
793,Cl* NGC 2004 MHFBE 108272,Classical,05 28 32.13,-67 13 23.68,16.4,B2IVe,226,2
794,Cl* NGC 2004 MHFBE 107877,Classical,05 28 34.26,-67 13 25.90,15.23,B2IIIe,208,0
795,Cl* NGC 2004 MHFBE 107771,Classical,05 28 34.65,-67 13 23.97,16.39,B2.5IIIe,319,2
796,Cl* NGC 2004 MHFBE 155603,Classical,05 28 47.76,-67 04 25.70,14.72,B1IIIe,249,0
797,V1372 Ori,Classical,05 28 48.46,02 09 52.97,7.24,B2Vne,180,61
798,Cl* NGC 2004 MHFBE 73013,Classical,05 28 55.99,-67 20 14.55,16.16,B1Ve,402,2
799,Cl* NGC 2004 MHFBE 137325,Classical,05 29 07.01,-67 07 49.28,16.3,B5IIIe,252,2
800,Cl* NGC 2004 MHFBE 77796,Classical,05 29 13.61,-67 19 18.70,14.91,B1IIIe,120,2
801,Cl* NGC 2004 MHFBE 66252,Classical,05 29 18.20,-67 21 37.10,16.26,B1Ve,446,0
802,Cl* NGC 2004 MHFBE 59721,Classical,05 29 25.67,-67 23 02.40,16.46,B2Ve,196,0
803,Cl* NGC 2004 MHFBE 132205,Classical,05 29 25.87,-67 08 53.93,14.72,B1IIIe,129,2
804,HBHA 3215-16,Classical,05 29 35.71,32 10 27.84,13.6,Be,,0
805,Cl* NGC 2004 MHFBE 85028,Classical,05 29 45.00,-67 17 50.50,16.07,B1.5IVe,269,0
806,Cl* NGC 2004 KWBBE 874,Classical,05 29 55.85,-67 19 14.26,17.56,B2Ve,262,2
807,Cl* NGC 2004 KWBBE 276,Classical,05 29 59.36,-67 14 46.48,15.79,B2IIIe,246,2
808,Cl* NGC 2004 MHFBE 138610,Classical,05 30 00.33,-67 07 44.02,14.82,B1IVe,171,2
809,Cl* NGC 2004 MHFBE 132079,Classical,05 30 05.50,-67 08 53.45,16.24,B1Ve,318,2
810,Cl* NGC 2004 KWBBE 287,Classical,05 30 08.07,-67 14 36.25,15.83,B2IIIe,221,2
811,Cl* NGC 2004 MHFBE 55075,Classical,05 30 15.66,-67 23 54.60,16.01,B2IVe,266,0
812,Cl* NGC 2004 KWBBE 993,Classical,05 30 18.58,-67 18 51.61,17.38,B2.5V,33,0
813,Cl* NGC 2004 KWBBE 554,Classical,05 30 19.79,-67 17 05.02,16.74,B2.5Ve,47,0
814,[MLD95] LMC 1-415,Classical,05 30 22.90,-71 05 44.88,15.7,Be,,0
815,Cl* NGC 2004 KWBBE 152,Classical,05 30 24.39,-67 14 55.49,15.58,B2IIIe,379,2
816,Cl* NGC 2004 KWBBE 579,Classical,05 30 27.61,-67 13 00.21,16.53,B2IIIe,310,2
817,Cl* NGC 2004 KWBBE 1055,Classical,05 30 29.27,-67 17 01.65,17.41,B2IVe,419,2
818,Cl* NGC 2004 ROB C5,Classical,05 30 31.98,-67 16 40.26,16.21,B1.5IIIe,274,2
819,Cl* NGC 2004 MHFBE 101350,Classical,05 30 34.64,-67 14 45.30,15.304,B1IVe,224,0
820,Cl* NGC 2004 MHFBE 119521,Classical,05 30 35.25,-67 11 19.10,16.3,B1IIIe,321,2
821,[MLD95] LMC 1-702,Classical,05 30 35.32,-71 01 57.11,14.93,B1Ve,,0
822,Cl* NGC 2004 KWBBE 622,Classical,05 30 36.22,-67 13 27.70,16.89,B3IIIe,299,2
823,Cl* NGC 2004 ROB B10,Classical,05 30 36.34,-67 16 51.00,15.55,B2IIIe,270,0
824,Cl* NGC 2004 KWBBE 624,Classical,05 30 37.04,-67 21 02.62,16.73,B2IIIe,343,2
825,Cl* NGC 2004 KWBBE 1108,Classical,05 30 37.24,-67 11 29.31,17.64,B2Ve,316,2
826,Cl* NGC 2004 ROB C16,Classical,05 30 37.69,-67 17 39.50,14.88,B2IIIe,185,0
827,Cl* NGC 2004 ROB C2,Classical,05 30 38.63,-67 16 23.00,16.04,B1.5Ve,309,0
828,Cl* NGC 2004 KWBBE 344,Classical,05 30 38.86,-67 14 21.13,15.89,B2IVe,216,2
829,Cl* NGC 2004 ROB B3,Classical,05 30 39.58,-67 16 49.52,15.27,B0IIIe,491,2
830,Cl* NGC 2004 KWBBE 347,Classical,05 30 39.90,-67 12 21.01,16.04,B2IIIe,334,2
831,Cl* NGC 2004 BBBC 451,Classical,05 30 44.28,-67 17 22.71,14.44,B2IIIe,201,2
832,Cl* NGC 2004 KWBBE 44,Classical,05 30 45.05,-67 14 26.13,13.7,B2IIIe,111,2
833,Cl* NGC 2004 KWBBE 1169,Classical,05 30 45.16,-67 17 18.30,16.62,B6IIIe,283,0
834,Cl* NGC 2004 KWBBE 1175,Classical,05 30 46.96,-67 17 39.30,17.75,B2Ve,345,0
835,Cl* NGC 2004 KWBBE 374,Classical,05 30 47.80,-67 11 36.43,16.37,B2Ve,337,2
836,2MASS J05304789-7107550,Classical,05 30 47.88,-71 07 55.20,14.22,O7.5Ve,,0
837,SV* HV 2605,Classical,05 30 48.00,-69 12 00.00,12.3,Oe,,2
838,Cl* NGC 2004 KWBBE 203,Classical,05 30 48.70,-67 16 49.31,15.35,B1IIIe,256,2
839,Cl* NGC 2004 KWBBE 1196,Classical,05 30 50.89,-67 18 08.51,17.56,B3IVe,359,2
840,[BE74] 593,Classical,05 30 60.00,-70 45 00.00,,Be,,0
841,[MLD95] LMC 1-485,Classical,05 31 12.41,-71 02 57.84,14.48,B0Ve,,0
842,RX J0531.2-6609,Classical,05 31 13.30,-66 07 05.16,14.4,B0.7Ve,,0
843,[MLD95] LMC 1-504,Classical,05 31 19.01,-71 04 38.89,14.413,O7Ve,,0
844,[MLD95] LMC 1-546,Classical,05 31 23.83,-71 04 12.79,13.88,O6Ve,,0
845,V1374 Ori,Classical,05 31 41.03,09 13 33.56,7.51,B8e,,119
846,[L72] LH 72-39,Classical,05 32 09.87,-66 26 08.59,14.959,B0.5Ve,,0
847,[O96] D226-22,Classical,05 32 10.31,-68 39 05.62,16.334,B0Ve,,0
848,HD 36408,Classical,05 32 14.14,17 03 29.25,6.06,B7IIIe,300,94
849,RX J0532.4-6535,Classical,05 32 25.30,-65 35 08.88,,Be,,0
850,[L72] LH 72-10,Classical,05 32 33.63,-66 27 10.69,15.05,O8Ve,,0
851,120 Tau,Classical,05 33 31.63,18 32 24.83,5.667,B2IVe,265,189
852,BD+35 1169,Classical,05 34 21.70,35 48 48.93,9.35,B1Vpe,,2
853,HD 244894,Classical,05 34 36.63,27 35 33.58,10.13,B1IIIpe,,3
854,V1371 Tau,Classical,05 34 39.10,28 03 03.77,8.16,B0e,190,36
855,RX J0535.0-6700,Classical,05 35 05.90,-67 00 15.84,14.873,B0Ve,,0
856,V1230 Ori,Classical,05 35 20.71,-05 21 44.39,9.736,B8IVve,,2
857,43 Ori,Classical,05 35 22.90,-05 24 57.82,5.08,O9.5Vpe,183,291
858,RX J0535.6-6651,Classical,05 35 41.18,-66 51 52.42,13.8,BIIIe,,0
859,HD 37115,Classical,05 35 54.08,-05 37 42.33,7.16,B6Ve,,78
860,[O96] D243-12,Classical,05 35 54.16,-66 03 30.10,14.551,O8Ve,,0
861,HD 290662,Classical,05 35 55.51,-00 46 39.26,9.98,A0Vpe,,1
862,HD 37149,Classical,05 36 17.83,-01 38 07.18,8.02,B8Ve,,37
863,HD 245310,Classical,05 36 23.01,21 11 11.45,8.96,B2IIInnpe,,37
864,HD 37974,Classical,05 36 25.87,-69 22 55.88,10.959,Be,,5
865,29 Dor,Classical,05 36 54.98,-66 33 37.03,6.281,B9.5Ve,,4
866,V1162 Tau,Classical,05 37 38.20,23 08 50.84,8.96,B5ne,,29
867,zet Tau,Classical,05 37 38.69,21 08 33.16,3.03,B2IVe,245,3345
868,HD 245493,Classical,05 37 50.94,33 58 02.05,8.44,B2Vpe,,35
869,HD 37330,Classical,05 37 53.45,00 58 06.99,7.38,B6Ve,,60
870,AO 0538-66,Classical,05 37 58.65,-66 46 23.89,,B2IIIe,,0
871,[GC2000] Be17,Classical,05 38 15.50,-69 03 56.16,,Be,,0
872,[GC2000] Be5,Classical,05 38 15.60,-69 04 00.84,,Be,,0
873,[GC2000] Be15,Classical,05 38 15.70,-69 03 47.16,,Be,,0
874,[GC2000] Be13,Classical,05 38 15.70,-69 03 52.92,,Be,,0
875,[GC2000] Be18,Classical,05 38 15.89,-69 03 59.04,,Be,,0
876,[GC2000] Be2,Classical,05 38 16.01,-69 03 52.92,,O8.5e,,0
877,[GC2000] Be19,Classical,05 38 16.30,-69 03 56.88,,Be,,0
878,Dor IRS 7,Classical,05 38 16.30,-69 03 51.84,,O8.5Ve,,0
879,[GC2000] Be8,Classical,05 38 16.39,-69 03 50.04,,Be,,0
880,[GC2000] Be7,Classical,05 38 16.80,-69 03 56.16,,Be,,0
881,[GC2000] Be12,Classical,05 38 16.80,-69 03 54.00,,Be,,0
882,[GC2000] Be10,Classical,05 38 16.99,-69 03 50.04,,Be,,0
883,[GC2000] Be11,Classical,05 38 17.30,-69 04 00.84,,Be,,0
884,[GC2000] Be9,Classical,05 38 17.30,-69 03 55.08,,Be,,0
885,[GC2000] Be16,Classical,05 38 17.59,-69 03 56.16,,Be,,0
886,[GC2000] Be1,Classical,05 38 18.00,-69 04 08.04,,B2Ve,,0
887,[GC2000] Be14,Classical,05 38 18.70,-69 04 03.00,,Be,,0
888,[GC2000] Be6,Classical,05 38 18.70,-69 03 57.96,,Be,,0
889,[GC2000] Be3,Classical,05 38 18.79,-69 03 59.04,,B4IIe,,0
890,[BE74] 415,Classical,05 38 24.30,-69 29 13.09,12.96,Be,,1
891,EM* StHA 50,Classical,05 38 34.45,-02 28 47.60,11.28,Be,,0
892,V725 Tau,Classical,05 38 54.57,26 18 56.83,9.19,O9.7IIe,,11
893,X LMC X-3,Classical,05 38 56.21,-64 04 56.10,17.2,B3Ve,,0
894,V1163 Tau,Classical,05 38 58.01,28 27 36.49,8.41,B1Vne,,34
895,ome Ori,Classical,05 39 11.15,04 07 17.28,4.57,B2IIIe,155,3200
896,HD 37352,Classical,05 39 15.15,30 09 02.01,7.69,B8e,270,98
897,alf Col,Classical,05 39 38.94,-34 04 26.79,2.6,B9Ve,180,20
898,HD 37541,Classical,05 40 03.45,17 40 35.62,8.63,B5e,140,27
899,[MLD95] LMC 2-8,Classical,05 41 29.36,-68 09 53.89,16.063,B0.5Ve,,0
900,HD 37971,Classical,05 41 41.51,-16 43 32.99,6.203,B4.5IIIe,0,261
901,[MLD95] LMC 2-1008,Classical,05 41 45.41,-67 41 43.08,15.5,Be,,0
902,[MLD95] LMC 2-488,Classical,05 42 12.89,-67 54 11.16,14.35,Be,,0
903,V434 Aur,Classical,05 42 19.87,43 03 34.53,7.25,B3Vne,,103
904,HD 246537,Classical,05 42 40.50,26 20 43.13,9.48,Be,,2
905,[MLD95] LMC 2-750,Classical,05 42 41.81,-67 49 41.16,15.34,Be,,0
906,BD+37 1292,Classical,05 42 50.38,37 59 02.76,9.23,B3Vpe,,1
907,[MLD95] LMC 2-195,Classical,05 43 11.30,-68 02 09.96,15.42,Be,,0
908,[O96] D301NW-4,Classical,05 43 17.67,-67 50 36.49,13.92,O5IIIe,,0
909,V731 Tau,Classical,05 43 19.50,23 12 15.74,6.227,B2.5Ve,160,202
910,[MLD95] LMC 2-759,Classical,05 43 20.64,-67 49 43.72,14.987,B1.7Ve,,0
911,[O96] D301NW-14,Classical,05 43 23.88,-67 47 48.70,15.553,B2.2Ve,,0
912,V1165 Tau,Classical,05 43 39.06,25 26 22.36,6.82,B1Vpe,,252
