#,Be star,Category,RA,DEC,V,Type,vsini,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,_4XMM,Flux1,e_Flux1,Flux2,e_Flux2,Flux3,e_Flux3,Flux4,e_Flux4,Flux5,e_Flux5,Flux8,e_Flux8,Flux9,e_Flux9,HR1,e_HR1,HR2,e_HR2,HR3,e_HR3,HR4,e_HR4,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,HRhm,HRhs,HRms,NHGal,_2SXPS,CR0,E_CR0,e_CR0,SwiftHR1,SwiftHR2,CR1,e_CR1,CR2,E_CR2,e_CR2,CR3,E_CR3,e_CR3,PcstS0,FPO0,FPU0,Gam1,E_Gam1,e_Gam1,ra,dec
21,IPHAS J003210.31+623929.2,Classical,00 32 10.31,62 39 29.20,,B6,,0.2295,-2.245,-0.381,0.0,0.0,13.446739,13.765617,12.93433,,1.1773543531006665e-14,11.562999725341797,0.010999999940395355,11.32800006866455,0.00800000037997961,9.954999923706055,0.04100000113248825,8.26200008392334,0.1899999976158142,12.331,0.025,12.114,0.03,11.963,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.042958333333333,62.65811111111111
22,BD+62 99,Classical,00 32 13.23,63 12 28.96,10.94,Be,,0.3946,-3.004,-0.556,0.09,10.9,10.751367,11.001199,10.309756,,1.4094705107030947e-13,8.821000099182129,0.012000000104308128,8.48900032043457,0.00800000037997961,7.581999778747559,0.017000000923871994,6.683000087738037,0.057999998331069946,9.667,0.025,9.398,0.03,9.084,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.055125,63.20804444444445
23,IPHAS J003248.02+664759.6,Classical,00 32 48.02,66 47 59.60,,B3III,,0.1408,-1.485,-0.085,0.0,0.0,14.356281,15.292434,13.393924,,5.0943689401956716e-15,10.583000183105469,0.012000000104308128,10.182000160217285,0.00800000037997961,9.444000244140625,0.035999998450279236,8.659000396728516,0.4050000011920929,12.113,0.023,11.56,0.027,11.196,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.200083333333334,66.79988888888889
24,RX J0032.9-7348,Classical,00 32 56.11,-73 48 19.08,,Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.233791666666667,-73.8053
25,BD+61 122,Classical,00 35 00.31,62 26 53.88,10.39,B2Vpe,,0.3193,-2.645,-0.685,0.111,18.8,10.5964,10.735116,10.300053,,1.6257089396244773e-13,9.0649995803833,0.008999999612569809,8.970000267028809,0.00800000037997961,7.809000015258789,0.019999999552965164,6.836999893188477,0.052000001072883606,9.585,0.026,9.435,0.03,9.249,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.751291666666667,62.4483
26,EM* AS 3,Classical,00 35 42.33,68 42 26.27,10.67,Be,,1.1049,-1.13,-1.658,0.142,25.6,10.569412,10.806586,10.162475,,1.6666253905301524e-13,9.411999702453613,0.012000000104308128,9.220999717712402,0.00800000037997961,9.067999839782715,0.02800000086426735,8.048999786376953,0.19900000095367432,9.753,0.027,9.663,0.03,9.489,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.926375,68.70729722222222
27,IPHAS J003559.27+664503.3,Classical,00 35 59.27,66 45 03.31,,A0V,,0.4024,-3.107,0.225,0.0,0.0,16.020594,16.679228,15.223489,,1.099930371106219e-15,12.39799976348877,0.014999999664723873,11.923999786376953,0.009999999776482582,7.465000152587891,0.017000000923871994,3.927000045776367,0.019999999552965164,14.111,0.043,13.708,0.047,13.243,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.996958333333334,66.75091944444445
28,IPHAS J004014.89+651644.0,Classical,00 40 14.89,65 16 44.00,,B2V,,0.3259,-2.094,0.223,0.462,72.1,14.815445,15.39524,13.976963,,3.337527047125543e-15,11.993000030517578,0.012000000104308128,11.843999862670898,0.008999999612569809,11.359999656677246,0.18700000643730164,8.76200008392334,,12.951,0.024,12.665,0.036,12.406,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.062041666666667,65.27888888888889
29,IPHAS J004121.36+650413.5,Classical,00 41 21.36,65 04 13.51,,,,0.1321,-2.03,0.081,0.284,51.6,13.878305,14.386326,13.135383,,7.91190007998413e-15,11.069000244140625,0.014999999664723873,10.862000465393066,0.010999999940395355,9.288000106811523,0.03700000047683716,8.777000427246094,,12.211,0.023,11.833,0.031,11.456,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.339,65.07041944444444
30,EM* MWC 674,Classical,00 42 26.51,64 03 00.17,10.848,B0IIIpe,,0.3643,-2.738,-0.558,0.062,5.63,10.203903,10.816829,9.430431,,2.3336815563301655e-13,7.336999893188477,0.012000000104308128,7.015999794006348,0.00800000037997961,6.276000022888184,0.01600000075995922,5.638999938964844,0.03799999877810478,8.463,0.019,8.13,0.046,7.819,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.610458333333334,64.05004722222222
