angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000_Gaia,_DEJ2000_Gaia,source_id,parallax,pmra,pmdec,Gflux,Gmag,BPflux,BPmag,RPflux,RPmag,radial_velocity,teff_val,a_g_val,radius_val,lum_val
0.032133,36,RX J0045.6-7313,Classical,00 44 58.30,-73 13 45.84,,Be,,0,11.24289979,-73.22939252,4688854834011700000,,,,1.34198E+02,20.369001,,,,,,,,,
0.369617,37,IPHAS J004517.05+640124.4,Classical,00 45 17.05,64 01 24.38,,B3V,,0,11.32111317,64.02334111,524039890488762000,0.1004,-1.749,0.208,1.20418E+04,15.486639,3.87273E+03,16.381346,1.24258E+04,14.526113,,3929,1.1818,,
0.411367,38,IPHAS J004620.80+622503.9,Classical,00 46 20.80,62 25 03.90,,,,0,11.5866564,62.41763583,427718273845116000,0.2851,-2.326,-0.508,7.58233E+04,13.488858,3.60798E+04,13.958227,5.85782E+04,12.842581,,5081,,8.16,40.018
0.125825,39,BD+34 113,Classical,00 46 34.44,34 49 43.65,9.9,B2IIIe,,50,11.643511,34.82882543,362441368008470000,1.8294,-4.385,-10.312,2.92400E+06,9.523423,1.19129E+06,10.161341,2.43733E+06,8.794634,-21.15,4602.99,0.353,10.26,42.606
0.3807,40,IPHAS J004651.68+625914.7,Classical,00 46 51.68,62 59 14.71,,B7V,,0,11.7153745,62.98731536,523832941781842000,0.2352,-1.019,-0.683,1.89780E+04,14.992738,8.85078E+03,15.483934,1.51478E+04,14.311046,,4909.67,,5.4,15.269
0.383477,41,IPHAS J004741.54+624203.3,Classical,00 47 41.54,62 42 03.31,,B7,,0,11.92312019,62.70081427,427748922732488000,0.2576,-1.221,-0.487,3.78391E+04,14.243515,1.99255E+04,14.602865,2.68057E+04,13.691351,,5512,1.8595,5.26,23.002
0.431293,42,AX J0048.2-7309,Classical,00 48 13.99,-73 09 38.88,15.3,Be,,0,12.05861052,-73.1608763,4685947587891120000,0.5242,-0.026,-3.241,1.42007E+02,20.307594,2.39028E+02,19.405268,1.63000E+02,19.23145,,,,,
0.062421,44,IPHAS J004842.93+644411.1,Classical,00 48 42.93,64 44 11.11,,B6,,0,12.17889278,64.73643503,524416404498339000,0.2616,-0.691,-0.152,2.12666E+04,14.869122,1.00825E+04,15.342463,1.67220E+04,14.203698,,4994.5,,4.92,13.566
0.059013,45,IPHAS J004850.12+642533.7,Classical,00 48 50.12,64 25 33.71,,,,0,12.20886865,64.42602453,524405752979578000,0.1767,-1.791,0.31,8.74632E+03,15.833802,3.34524E+03,16.54032,8.11874E+03,14.988198,,4314.82,0.754,,
0.033658,46,BG Phe,Classical,00 49 01.31,-56 05 49.35,10.18,B5e,,8,12.25544222,-56.09703909,4908668373993960000,0.114,0.176,-0.708,1.40183E+06,10.321625,1.10575E+06,10.242243,5.20623E+05,10.470612,,8868.67,0.167,,
0.081709,52,RX J0049.7-7323,Classical,00 49 41.99,-73 23 14.71,14.98,B2Ve,,0,12.42503107,-73.38741035,4685927315640010000,-0.0403,0.623,-1.152,2.21483E+04,14.825013,1.63140E+04,14.819985,1.13085E+04,14.628409,,9281.25,,,
0.034535,53,EM* MWC 678,Classical,00 49 48.20,60 59 10.04,9.89,B2Vnnpe,,2,12.4508442,60.98611421,427352819367679000,0.2579,-2.528,-0.864,2.47219E+06,9.705662,1.42520E+06,9.966696,1.53162E+06,9.299042,,6354.25,,31.31,1439.4
0.324497,54,IPHAS J005011.87+635129.9,Classical,00 50 11.87,63 51 29.92,,B5,,0,12.54950566,63.85822342,523977733720370000,0.3312,-3.055,-0.449,5.21696E+04,13.894821,2.82264E+04,14.224748,3.58529E+04,13.375609,,5549.63,,4.73,19.116
0.33772,55,IPHAS J005011.87+633526.1,Classical,00 50 11.87,63 35 26.09,,B3V,,0,12.54951631,63.59049036,523968044274327000,0.1926,-1.801,0.603,1.26611E+04,15.43219,5.45822E+03,16.00876,1.07977E+04,14.678597,,4765.5,,,
0.067507,56,IPHAS J005012.69+645621.6,Classical,00 50 12.69,64 56 21.59,,B5V B5,,0,12.55283138,64.93933376,524443548692482000,0.3282,-2.585,-0.381,3.82141E+04,14.232805,1.76075E+04,14.737144,3.11198E+04,13.529327,,4870.19,,5.61,15.956
0.021864,57,BD+60 114,Classical,00 50 15.22,60 54 09.20,9.94,B2IIIpe,,4,12.56342907,60.90255628,427350109251718000,0.3682,-2.235,-0.447,3.00044E+06,9.495405,1.57413E+06,9.858788,2.06675E+06,8.973702,,5857.25,,28.65,870.155
0.303509,58,IPHAS J005029.22+653331.1,Classical,00 50 29.22,65 33 31.10,,B7IV,,0,12.62183181,65.55856167,524559272288846000,0.1237,-2.172,0.024,2.43280E+04,14.723099,1.03869E+04,15.310176,2.09347E+04,13.959752,,4779.28,,,
0.06071,59,IPHAS J005032.31+623155.5,Classical,00 50 32.31,62 31 55.49,,,,0,12.63459356,62.53207195,523631490638626000,0.2015,-1.254,0.009,1.16048E+04,15.526775,5.34061E+03,16.03241,9.39454E+03,14.829731,,4873.4,,,
0.283032,60,DZ Tuc,Classical,00 50 44.69,-73 16 05.16,15.44,Be,,0,12.68628186,-73.26817572,4685928999266930000,-0.0418,0.755,-1.126,1.35737E+04,15.356619,1.05632E+04,15.291896,6.29832E+03,15.263858,,9572.5,,,
0.963917,62,RX J0050.9-7310,Classical,00 50 54.31,-73 10 06.96,14.35,Be,,0,12.72661159,-73.16885122,4685933461724970000,,,,8.89621E+01,20.815353,,,,,,,,,
0.539485,64,RX J0051.3-7250,Classical,00 51 18.70,-72 50 35.88,,Be,,0,12.82802167,-72.84315338,4688960627670160000,-0.8391,-0.721,-2.022,1.70989E+03,17.605942,2.00162E+03,17.097933,1.32896E+03,16.953142,,,,,
0.955725,64,RX J0051.3-7250,Classical,00 51 18.70,-72 50 35.88,,Be,,0,12.82758211,-72.84305355,4688960627670160000,,,,4.53341E+02,19.047302,,,,,,,,,
0.020735,65,BD+69 48,Classical,00 51 22.88,70 09 39.08,9.41,B5e,,3,12.84531654,70.16085639,535977494385042000,0.8972,1.982,0.484,3.49198E+06,9.330686,2.18857E+06,9.500986,1.91368E+06,9.057248,,7241.72,1.0567,8.27,169.416
0.193332,66,SMC 25,Classical,00 51 52.01,-73 10 33.96,14.45,Be,,0,12.9667697,-73.17615068,4685938413838450000,-0.1357,0.725,-1.064,3.42547E+04,14.351566,2.65524E+04,14.291129,1.53634E+04,14.295699,,9522.75,,,
0.270001,67,2E 0050.1-7247,Classical,00 51 53.17,-72 31 48.50,14.87,Be,,0,12.97139928,-72.53020052,4688984061034520000,-0.0198,0.667,-1.331,2.24112E+04,14.812205,1.93789E+04,14.633063,8.99905E+03,14.876429,,8598.67,,,
0.036901,71,2E 0050.4-7335,Classical,00 52 13.99,-73 19 18.84,14.67,Be,,0,13.05831706,-73.32189279,4685885980866640000,-0.1077,0.538,-1.124,2.72291E+04,14.600782,1.99427E+04,14.601931,1.34342E+04,14.441387,,9579,,,
0.016397,72,HD 4931,Classical,00 52 15.45,60 05 23.81,8.72,B8Ve,,63,13.06438407,60.08994778,426872337089185000,0.5541,-1.788,-1.101,7.02754E+06,8.571358,4.12619E+06,8.812514,4.20070E+06,8.203617,52.17,6564.27,1.344,23,885.203
0.508017,73,2E 0051.1-7214,Classical,00 52 55.20,-71 58 05.88,15.53,Be,,0,13.23027063,-71.96841356,4689080337014300000,-0.1469,0.895,-1.161,1.20481E+04,15.486069,9.30421E+03,15.429689,5.42082E+03,15.426757,,9531,,,
0.193861,74,2MASS J00530450-7220495,Classical,00 53 04.53,-72 20 49.30,15.83,B2IIIe,393,0,13.26881557,-72.34707852,4689056594433430000,0.0485,0.648,-1.354,9.36927E+03,15.759102,7.36623E+03,15.683275,4.21571E+03,15.699743,,9531,,,
0.14719,75,Cl* NGC 330 ELS 049996,Classical,00 53 10.35,-72 20 42.30,15.88,B2IIIe,461,0,13.29305974,-72.34511911,4689056628793170000,0.0303,0.746,-1.327,9.11451E+03,15.789032,7.32573E+03,15.689261,4.11112E+03,15.727019,,9536.67,,,
0.073334,76,Cl* NGC 330 ELS 028368,Classical,00 53 11.93,-72 12 04.60,16.61,B2IIIe,499,0,13.29964172,-72.20127836,4689061709698570000,0.0117,0.697,-1.368,4.72458E+03,16.502457,3.84399E+03,16.389433,2.14253E+03,16.4346,,9554.25,,,
0.215218,77,Cl* NGC 330 ELS 021152,Classical,00 53 12.66,-72 20 29.50,15.3,B2IIIe,199,0,13.30265037,-72.34157936,4689056628793460000,0.0407,0.978,-1.202,1.48771E+04,15.257067,1.20889E+04,15.145422,6.20763E+03,15.279606,,9438,,,
0.19492,78,Cl* NGC 330 ELS 083491,Classical,00 53 19.93,-72 22 29.20,15.95,B3IIIe,433,0,13.33301365,-72.37483125,4689009418472600000,0.2218,0.007,-1.464,7.39318E+03,16.016287,6.62620E+03,15.798227,4.16823E+03,15.712041,,8071,,,
0.228705,79,Cl* NGC 330 ELS 073594,Classical,00 53 21.41,-72 26 08.90,16.13,B2.5IIIe,192,0,13.33912579,-72.435864,4689008250240890000,0.0425,0.839,-1.326,6.92633E+03,16.087109,5.48292E+03,16.003859,3.18059E+03,16.00565,,9574.5,,,
0.12147,80,Cl* NGC 330 ELS 055592,Classical,00 53 22.72,-72 11 55.70,16.68,B3IVe,118,0,13.34459107,-72.19883014,4689061812857160000,0.1148,0.789,-1.414,4.45790E+03,16.565538,4.13960E+03,16.30899,2.34180E+03,16.338047,,8932.67,,,
0.236024,81,Cl* NGC 330 ELS 000476,Classical,00 53 23.70,-72 23 43.80,16.36,B2Ve,309,0,13.3486877,-72.3955628,4689008593893420000,0.0075,0.62,-1.378,5.55172E+03,16.327297,4.51933E+03,16.213703,2.35568E+03,16.33163,,9054.5,,,
0.376154,82,CXOU J005323.8-722715,Classical,00 53 23.90,-72 27 15.12,16.19,Be,,0,13.34941176,-72.45429079,4689005260999710000,-0.011,0.679,-1.264,6.19310E+03,16.208595,5.18634E+03,16.064236,2.51510E+03,16.26053,,8565,,,
0.238284,83,2MASS J00532660-7220187,Classical,00 53 26.61,-72 20 18.60,14.97,B2IIIe,185,0,13.36081109,-72.33856329,4689010067007620000,0.0145,0.74,-1.406,2.00783E+04,14.931551,1.65548E+04,14.804079,8.04360E+03,14.998293,,8598.67,,,
0.166918,84,Cl* NGC 330 ELS 003789,Classical,00 53 26.69,-72 22 07.40,17.62,B1Ve,492,0,13.36115903,-72.36876612,4689009796484680000,0.0209,0.72,-1.129,1.91791E+03,17.481295,1.57703E+03,17.35679,9.50181E+02,17.317404,,,,,
