#,Be star,Category,V,SpecType,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,_q,EDR3Name,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,RVDR2,GLON,GLAT,Tefftemp,Gflux,Name,Type,Pos,Opt,r_Opt,l_Vmag,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,E_B-V_,E_B-V_2,u_E_B-V_,r_Vmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,l_FX,FX,FXu,Range,r_FX,Porb,u_Porb,Ppulse,u_Ppulse,r_Porb,SpType,Name2,Name3,Name4,Simbad,_4XMM,Flux1,Flux2,Flux3,Flux4,Flux5,Flux8,Flux9,HR1_x,HR2_x,HR3,HR4,Cst,Fvar,e_Fvar,Vflag,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,HRhm,HRhs,HRms,VaKSb,VaKPb,VaGLb,Vib,_2SXPS,HR1_y,HR2_y,FPO0,FPU0,NH1H,Gamma,flags
32,EM* LkHA 202,Classical,14.0,Be,,0,10.956833333333334,62.25636111111111,32.0,Gaia EDR3 427629728800278912,0.5211,-1.854,-0.746,0.056,4.84,12.257166,13.017784,11.378496,,122.0463935129,-0.6022687117,,3.5215705544934837e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
33,EM* CDS 78,Classical,11.422,B1Vpe,,2,11.053791666666667,64.4622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
34,EM* AS 4,Classical,10.58,B1IVpe,,1,11.175791666666667,63.907783333333334,34.0,Gaia EDR3 524037416587647616,0.2937,-1.889,0.025,0.116,20.3,10.295917,10.757946,9.644252,,122.1913444679,1.0457056647,,2.1440553557334304e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
35,omi Cas,Classical,4.477,B5IIIe,195,550,11.181333333333333,48.28436388888889,35.0,Gaia EDR3 390548351252549760,0.5116,17.415,-8.947,4.067,23900.0,4.34949,4.356681,4.295438,,121.7782686306,-14.5723843216,,5.1263327628438425e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
36,RX J0045.6-7313,Classical,,Be,,0,11.242916666666666,-73.2294,36.0,Gaia EDR3 4688854834011709056,-0.7999,0.929,-2.629,1.935,0.973,20.427263,,,,303.5790980784,-43.8907306139,,1.8997549898200962e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
37,IPHAS J004517.05+640124.4,Classical,,B3V,,0,11.321041666666666,64.02343888888889,37.0,Gaia EDR3 524039890488762880,0.0878,-1.703,0.107,0.0,1.94e-15,15.470962,16.368193,14.516515,,122.2580273377,1.1596440248,,1.8248114356039195e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
38,IPHAS J004620.80+622503.9,Classical,,,,0,11.586666666666666,62.41775,38.0,Gaia EDR3 427718273845116288,0.2798,-2.299,-0.599,0.0,0.0,13.44142,13.919851,12.777562,,122.3425827531,-0.4482902776,,1.1831363399361394e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
39,BD+34 113,Classical,9.9,B2IIIe,,50,11.6435,34.82879166666667,39.0,Gaia EDR3 362441368008470656,1.7931,-4.534,-10.529,0.102,15.3,9.528073,10.140298,8.783978,-21.15,121.8011031315,-28.0322906023,4500.0,4.348841644586743e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
40,IPHAS J004651.68+625914.7,Classical,,B7V,,0,11.715333333333334,62.98741944444444,40.0,Gaia EDR3 523832941781842176,0.2848,-1.067,-0.722,0.0,0.0,14.979452,15.463961,14.303639,,122.4123029693,0.1201796828,,2.869604164155853e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
41,IPHAS J004741.54+624203.3,Classical,,B7,,0,11.923083333333333,62.700919444444445,41.0,Gaia EDR3 427748922732488448,0.2714,-1.229,-0.551,0.0,0.0,14.231631,14.589518,13.684862,,122.5024785998,-0.1678147692,,5.714133647937981e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
42,AX J0048.2-7309,Classical,15.3,Be,,0,12.058291666666667,-73.1608,42.0,Gaia EDR3 4685947587903041920,0.6672,0.257,-1.737,0.336,0.0529,20.26839,20.876583,20.704355,,303.2542410198,-43.9653545628,,2.1991091921869405e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
43,RX J0048.5-7302,Classical,14.84,Be,,0,12.14375,-73.04166944444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
44,IPHAS J004842.93+644411.1,Classical,,B6,,0,12.178875,64.73641944444445,44.0,Gaia EDR3 524416404498339200,0.2636,-0.727,-0.134,0.081,2.03,14.858552,15.329682,14.195559,,122.6413053874,1.8662205365,,3.2076132137641885e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
45,IPHAS J004850.12+642533.7,Classical,,,,0,12.208833333333333,64.42603055555556,45.0,Gaia EDR3 524405752979578368,0.1572,-1.672,0.252,0.093,1.17,15.820762,16.522406,14.984367,,122.6509600569,1.5556956753,,1.3222025605888117e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
46,BG Phe,Classical,10.18,B5e,,8,12.255458333333333,-56.09704166666667,46.0,Gaia EDR3 4908668373993964032,0.2059,0.305,-0.761,0.35,181.0,10.314633,10.229184,10.46688,,303.6274981045,-61.0279444461,,2.1074127046199277e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
47,RX J0049.0-7250,Classical,16.92,Be,,0,12.274583333333334,-72.8486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
48,RX J0049.2-7311,Classical,16.51,Be,,0,12.308291666666667,-73.1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
49,EM* MWC 677,Classical,10.71,B2Vpe,,1,12.354208333333334,63.8681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
50,RX J0049.5-7310,Classical,16.51,Be,,0,12.373291666666667,-73.1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
51,RX J0049.5-7331,Classical,14.64,Be,,0,12.390416666666667,-73.5233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
52,RX J0049.7-7323,Classical,14.98,B2Ve,,0,12.424958333333333,-73.38741944444445,52.0,Gaia EDR3 4685927315640017792,-0.0301,0.53,-1.209,0.09,2.32,14.796638,14.840578,14.654923,,303.1038339682,-43.7402544569,,3.3958429263719224e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J004942.0-732314,3.6398644578282e-14,2.8232364839924e-14,6.3152514844405e-15,1.9918265552461e-15,0.0,0.30106,0.54841,0.29482,0.9340659,0.9612106,0.280866,0.06094563,,,,,,,,"BeSS,Gaia,Chandra"
53,EM* MWC 678,Classical,9.89,B2Vnnpe,,2,12.450833333333334,60.98612222222222,53.0,Gaia EDR3 427352819367679104,0.3592,-2.607,-0.97,0.092,12.5,9.692309,9.938519,9.253222,,122.7336054828,-1.8850102441,,3.738343410403812e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
54,IPHAS J005011.87+635129.9,Classical,,B5,,0,12.549458333333334,63.858311111111114,54.0,Gaia EDR3 523977733720370560,0.3448,-3.022,-0.491,0.0,0.0,13.883451,14.213322,13.368803,,122.7953138958,0.9868003345,,7.87448923976015e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
55,IPHAS J005011.87+633526.1,Classical,,B3V,,0,12.549458333333334,63.590580555555555,55.0,Gaia EDR3 523968044277752832,0.1765,-1.842,0.593,0.057,0.639,15.419792,15.994319,14.667682,,122.7940348272,0.7190750095,,1.912872368830489e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
56,IPHAS J005012.69+645621.6,Classical,,B5V B5,,0,12.552875,64.93933055555556,56.0,Gaia EDR3 524443548692482432,0.3752,-2.62,-0.406,0.057,1.72,14.217955,14.717118,13.513228,,122.8019348528,2.0678916781,,5.786564440445313e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
57,BD+60 114,Classical,9.94,B2IIIpe,,4,12.563416666666667,60.90255555555556,57.0,Gaia EDR3 427350109251718400,0.3193,-2.233,-0.671,0.076,8.55,9.501092,9.839395,8.95979,,122.7878569572,-1.968864482,,4.4582661747648936e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
58,IPHAS J005029.22+653331.1,Classical,,B7IV,,0,12.62175,65.5586388888889,58.0,Gaia EDR3 524559272288846592,0.1678,-2.198,-0.063,0.0,4.25e-15,14.710493,15.301065,13.949892,,122.833472303,2.6869935066,,3.676254709599398e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
59,IPHAS J005032.31+623155.5,Classical,,,,0,12.634625,62.53208055555555,59.0,Gaia EDR3 523631490638626048,0.2089,-1.299,-0.081,0.0,0.0,15.516201,16.019785,14.822147,,122.8281834693,-0.3394968131,,1.7503399039974355e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
