#,Be star,Category,V,SpecType,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,_q,EDR3Name,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,RVDR2,GLON,GLAT,Tefftemp,Gflux,Name,Type,Pos,Opt,r_Opt,l_Vmag,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,E_B-V_,E_B-V_2,u_E_B-V_,r_Vmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,l_FX,FX,FXu,Range,r_FX,Porb,u_Porb,Ppulse,u_Ppulse,r_Porb,SpType,Name2,Name3,Name4,Simbad,_4XMM,Flux1,Flux2,Flux3,Flux4,Flux5,Flux8,Flux9,HR1_x,HR2_x,HR3,HR4,Cst,Fvar,e_Fvar,Vflag,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,HRhm,HRhs,HRms,VaKSb,VaKPb,VaGLb,Vib,_2SXPS,HR1_y,HR2_y,FPO0,FPU0,NH1H,Gamma,flags
1382,HD 93597,Classical,9.256,B6Ve,,0,161.75549999999998,-57.95831111111111,1382.0,Gaia EDR3 5350939057926501504,0.7473,-8.989,2.353,0.119,15.5,9.177593,9.242963,9.002957,,287.0227158615,1.0180402866,,6.005727098572991e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1383,Cl* Bochum 11 PC 6,Classical,10.7,B2Ve,,0,161.84199999999998,-60.099358333333335,1383.0,Gaia EDR3 5350289968096169344,0.389,-6.162,1.916,0.111,13.4,11.179408,11.302216,10.92107,,288.0454524337,-0.8634525056,,9.502537538139975e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1384,HD 93618,Classical,9.17,B2Ve,,0,161.84220833333336,-57.16719166666667,1384.0,Gaia EDR3 5351083025233587968,0.3489,-6.195,1.546,0.109,11.7,8.871635,9.002793,8.5828,,286.700517757,1.7421223958,,7.960654836373188e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1385,EM* CDS 816,Classical,11.51,B3Ve,,0,161.86458333333334,-62.72128333333333,1385.0,Gaia EDR3 5241544587293536384,0.3555,-8.114,2.243,0.108,14.5,11.578017,11.652659,11.409552,,289.2587178728,-3.1882465899,,6.582577695650658e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1386,HD 93683,Classical,7.97,B0.5Vne,,0,161.912,-60.617847222222224,1386.0,Gaia EDR3 5242187050013731200,0.8857,-6.667,2.857,0.806,426.0,7.807041,7.8822,7.583103,,288.3138178521,-1.308472908,,2.1222004089344632e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1387,HD 308023,Classical,9.96,B3IVe,,0,162.00229166666665,-64.53041388888889,1387.0,Gaia EDR3 5239646005592581760,0.529,-8.047,4.454,0.086,8.4,10.037188,10.141541,9.814519,,290.1447580107,-4.7679108285,,2.7209940611240245e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1388,HD 305635,Classical,10.33,Oe,,0,162.04670833333333,-60.69049166666667,1388.0,Gaia EDR3 5242179971924483328,0.4249,-6.457,2.119,0.151,26.1,10.21112,10.253424,10.085444,,288.4057538802,-1.3429363871,,2.31822077710088e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1389,HD 93843,Classical,7.33,O6IIIe,,47,162.15741666666668,-60.22374166666667,1389.0,Gaia EDR3 5338275673288599936,0.4157,-5.956,1.8,0.265,54.4,7.274279,7.249497,7.243824,,288.2418447934,-0.9025122626,,3.4664999149877402e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J104837.7-601325,1.1590498018544e-13,8.5679622862245e-15,1.7838096192933e-14,8.8435000507085e-14,6.7106967085344e-14,-0.6346,-0.92567,-0.70581,0.9800583,0.861765,0.3496482,,,,,,,,,"BeSS,Gaia,Chandra"
1390,EC 10475-2118,Classical,13.54,Be,,1,162.49920833333334,-21.5689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1391,2E 1048.1-5937,Classical,,Be,,0,162.53720833333335,-59.88886111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1392,HD 305627,Classical,10.03,B1IIIe,,0,162.79208333333332,-60.69281388888889,1392.0,Gaia EDR3 5338245024400075136,0.2206,-5.354,2.067,0.099,9.43,10.217136,10.26437,10.088238,,288.7325265054,-1.1804295557,,2.3054111744863763e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1393,HD 94288,Classical,9.47,B4Ve,,0,162.92029166666669,-61.693355555555556,1393.0,Gaia EDR3 5242067065812013440,0.6205,-7.912,3.428,0.168,30.5,9.312903,9.321168,9.223256,,289.2335150357,-2.0488383472,,5.302022835528381e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1394,CSI-55-10501 2,Classical,12.59,B2Vpe,,0,163.04999999999998,-56.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1395,V599 Car,Classical,9.14,B8e,,1,163.36358333333334,-58.42348055555556,1395.0,Gaia EDR3 5338872261413522560,0.6096,-7.639,2.643,0.135,18.3,9.132844,9.141215,9.068344,,287.9889809039,0.9830831646,,6.258427043465873e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1396,HD 303534,Classical,9.9,B3Ve,,0,163.59129166666668,-58.070011111111114,1396.0,Gaia EDR3 5338974825224036096,0.4173,-5.2,1.859,0.101,10.8,9.882568,10.008059,9.619695,,287.9423897726,1.353389655,,3.1374411898846984e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1397,HD 94648,Classical,9.75,B2IIe,,0,163.611375,-59.86230277777778,1397.0,Gaia EDR3 5338345320466537856,0.4468,-6.577,2.299,0.129,17.6,9.707007,9.822596,9.442994,,288.7314649189,-0.2559391903,,3.688077120325281e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1398,CPD-59 2854,Classical,10.5,Oe,,0,163.98070833333333,-60.238958333333336,1398.0,Gaia EDR3 5338318932185568128,0.3044,-6.364,2.372,0.075,5.43,10.375536,10.586946,9.980428,,289.0605770499,-0.5158204506,,1.9924544142950948e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1399,AG Car,Classical,7.09,B2pe,,16,164.04825,-60.45355833333333,1399.0,Gaia EDR3 5338220285385672064,0.1925,-4.808,1.955,0.123,12.1,7.287992,7.619361,6.728363,,289.1828994391,-0.6953015617,,3.422992865025188e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1400,HD 94963,Classical,7.26,O6.5IIIe,,2,164.149125,-61.70896388888889,1400.0,Gaia EDR3 5241879697825137280,0.3564,-7.474,1.184,0.284,62.7,7.10256,7.045163,7.143865,,289.7648435371,-1.8088337928,,4.060493259452443e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1401,HD 95043,Classical,9.3,B8.5IIIe,,0,164.3,-60.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1402,CPD-59 2877,Classical,11.07,Oe,,0,164.32279166666666,-59.961888888888886,1402.0,Gaia EDR3 5338350130830677888,0.3023,-6.408,2.298,0.103,12.0,10.966535,11.174381,10.541718,,289.0962573126,-0.1924604602,,1.156082411372029e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1403,HD 305827,Classical,10.45,B2Ve,,1,164.41691666666665,-61.65915833333333,1403.0,Gaia EDR3 5241880664229549696,0.4041,-6.03,2.433,0.964,1050.0,10.444886,10.564174,10.186918,,289.8586352657,-1.7096694692,,1.8691682434016805e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1404,HD 308104,Classical,11.23,B2Ve,,0,164.74720833333333,-61.92681666666667,1404.0,Gaia EDR3 5241826616375236480,0.2087,-5.24,2.01,0.126,16.0,10.91178,11.028473,10.636428,,290.1131506632,-1.8864562999,,1.215880221370783e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1405,HD 95612,Classical,9.61,B7IVe,,1,165.29999999999998,-55.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1406,Cl Pismis 17 3,Classical,11.4,B2Ve,,0,165.32608333333334,-59.84965833333333,1406.0,Gaia EDR3 5338531447179700224,0.347,-7.143,2.392,0.134,22.9,11.244863,11.362813,11.002573,,289.5061192923,0.1201127906,,8.94659120969699e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1407,CPD-59 2945s,Classical,11.37,B2Ve,,0,165.33091666666667,-59.849183333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1408,CD-59 3483,Classical,10.46,B0Ve,,0,165.37,-59.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1409,CSI-59-10594 4,Classical,11.4,B2Ve,,0,165.37,-59.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1410,HD 95826,Classical,9.21,B5Ve,,1,165.60120833333332,-60.5172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1411,HD 305891,Classical,10.37,B3Ve,,1,165.62495833333335,-60.81551666666667,1411.0,Gaia EDR3 5338052502434618112,0.4127,-6.089,1.784,0.144,20.2,10.208307,10.121664,10.015839,,290.0366283775,-0.7007700933,,2.32423477022937e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1412,HD 303763,Classical,10.23,Be,,0,165.7119583333333,-59.318311111111115,1412.0,Gaia EDR3 5338572129113392640,0.4158,-4.844,2.07,0.108,12.2,9.958682,10.111251,9.62409,,289.4673574905,0.6846963355,,2.9250277719283637e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1413,HD 95972,Classical,8.76,B2Vnne,,0,165.79033333333334,-61.76875,1413.0,Gaia EDR3 5337894486338613888,0.3194,-6.528,2.103,0.309,84.7,8.96711,8.941223,8.87709,,290.4965400547,-1.5395252686,,7.29052483785008e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1414,HD 306016,Classical,9.98,B2Ve,,0,166.25029166666667,-61.39361666666667,1414.0,Gaia EDR3 5337184201821712768,0.4779,-6.207,1.7,0.408,173.0,9.874333,9.871118,9.795708,,290.5462156039,-1.1080453537,,3.161328261874755e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1415,HD 96261B,Classical,9.17,B1.5Ve,,0,166.25408333333334,-59.713230555555555,1415.0,Gaia EDR3 5338509937981912576,0.4149,-6.305,1.767,0.107,11.5,9.589682,9.717545,9.289813,,289.8780465868,0.433802859,,4.108941838090904e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1416,HD 303776,Classical,11.24,B2Ve,,0,166.27675,-57.50991111111111,1416.0,Gaia EDR3 5340361446825958400,0.3684,-6.396,2.7,0.096,10.7,10.896126,11.026357,10.632642,,289.0104398961,2.4592644813,,1.2335376054997022e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1417,CSI-61-11033 1,Classical,,B2Ve,,0,166.35,-61.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1418,CSI-61-11033 2,Classical,,B2Ve,,0,166.35,-61.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1419,HD 96357,Classical,9.13,B4Ve,,1,166.36783333333332,-61.845261111111114,1419.0,Gaia EDR3 5337144550655885696,1.7045,-5.386,1.413,4.573,13000.0,9.288373,9.052353,8.800565,,290.7772784121,-1.5001774674,,5.423174687925964e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1420,HD 96485,Classical,10.09,B8.5IIIe,,1,166.60316666666665,-53.35515,1420.0,Gaia EDR3 5347386364036741888,0.6866,-9.766,2.123,0.703,652.0,10.061555,10.069398,9.98984,,287.525230807,6.3456785446,,2.660607395251237e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1421,ESO 169-6,Classical,,Be,,0,166.625,-54.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1422,CPD-63 1835,Classical,9.6,B1Ve,,0,166.64999999999998,-64.2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1423,HD 308217,Classical,10.06,B3Ve,,1,166.80675,-62.049594444444445,1423.0,Gaia EDR3 5337126717974081664,0.3847,-6.088,2.229,0.1,10.4,9.988038,10.100919,9.740182,,291.0475830079,-1.6066183047,,2.8470008308208746e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1424,HD 96685,Classical,9.792,B8e,,1,166.81866666666667,-58.70528888888889,1424.0,Gaia EDR3 5340149344168236928,0.5156,-6.261,2.368,0.079,6.27,9.774719,9.848086,9.597435,,289.7457258512,1.4739721413,,3.4650953832625755e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1425,HD 96728,Classical,8.21,B8Vne,,0,166.91983333333332,-56.66059444444444,1425.0,Gaia EDR3 5340788022976208000,0.8318,-9.588,2.319,0.218,34.8,8.157867,8.155069,8.098518,,288.9966121569,3.3775408912,,1.5362291226871512e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1426,CD-70 798,Classical,10.7,Be,,2,166.98808333333332,-70.90944444444445,1426.0,Gaia EDR3 5228488578215713664,0.0545,-8.167,1.28,0.146,30.2,10.918119,11.001503,10.710141,,294.6063580884,-9.7295598584,,1.2088020667982683e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1427,HD 96788,Classical,9.85,B8.5IIpshe,,0,167.002125,-56.78766944444445,1427.0,Gaia EDR3 5340738957266999552,0.4389,-7.442,1.91,0.1,12.3,9.774898,9.881865,9.533854,,289.0878264842,3.2780670846,,3.464524157080063e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1428,HD 96822,Classical,9.32,B8IVe,,0,167.040125,-57.5333,1428.0,Gaia EDR3 5340337120139326336,1.1955,-11.375,4.785,0.235,63.5,9.28563,9.255688,9.30663,,289.396824044,2.5989963274,,5.436893098513691e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1429,HD 96864,Classical,8.98,B4IIIe,,1,167.120375,-56.485261111111114,1429.0,Gaia EDR3 5340767441491619712,0.3827,-6.588,2.823,0.104,12.7,8.892313,8.975834,8.67872,,289.0303432701,3.58202843,,7.810477648244336e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1430,HD 97032,Classical,9.75,B9Vne,,2,167.21366666666668,-68.35255277777777,1430.0,Gaia EDR3 5237840646171740416,1.0576,-7.646,1.402,0.124,17.9,9.719437,9.736776,9.642067,,293.6680289821,-7.3456806433,,3.646095115492631e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1431,HD 306085,Classical,10.01,B2Ve,,0,167.32829166666667,-60.71188611111111,1431.0,Gaia EDR3 5337681696482836736,0.4666,-6.942,1.507,0.084,7.84,9.696132,9.923722,9.304669,,290.7597408648,-0.276595092,,3.7252034276176167e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1432,HD 306111,Classical,10.1,Oe,,0,167.33237499999998,-61.101419444444446,1432.0,Gaia EDR3 5337294045569936768,0.3635,-5.876,0.694,0.101,11.0,9.996646,10.12966,9.693215,,290.9111337805,-0.635574257,,2.8245183066147727e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1433,V353 Car,Classical,7.72,B2Ve,,2,167.50975,-60.09513611111111,1433.0,Gaia EDR3 5337726364146236544,1.0802,-5.745,0.456,0.31,60.8,7.645625,7.604399,7.638892,,290.6067672859,0.3275774711,,2.462367066104835e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1434,HD 97253,Classical,7.11,O5IIIe,,2,167.67516666666668,-60.38451944444444,1434.0,Gaia EDR3 5337669189536576000,0.4294,-5.861,1.445,0.201,34.4,7.03472,7.106589,6.840294,,290.7926548789,0.0911314524,,4.322298875374851e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1435,HD 306145,Classical,10.28,B2Vne,,1,167.83054166666665,-59.92050555555556,1435.0,Gaia EDR3 5337823464765976960,0.4087,-6.152,2.234,0.322,116.0,10.172255,10.314572,9.892295,,290.6890339884,0.5499652261,,2.4027068906485637e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1436,HD 97382,Classical,9.69,B6e,,0,167.86308333333332,-63.205711111111114,1436.0,Gaia EDR3 5240745452824329984,0.4158,-6.34,2.615,0.096,10.5,9.621144,9.762356,9.326679,,291.9402593094,-2.4878221237,,3.9915832717771177e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1437,HD 97535,Classical,7.02,B7Vne,,0,168.02291666666667,-71.2174611111111,1437.0,Gaia EDR3 5228422126479849472,4.1664,-26.334,-1.236,0.19,37.6,6.880709,6.917705,6.736366,,295.0414454663,-9.883774731,,4.981030418089487e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1438,HD 97580,Classical,8.75,B8Ve,,0,168.25370833333335,-57.035183333333336,1438.0,Gaia EDR3 5339987642904577408,1.1185,-10.712,2.537,0.197,42.3,8.730748,8.717831,8.700038,,289.8150936987,3.3087863853,,9.063659753086299e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1439,HD 306205,Classical,10.08,B0IIe,,0,168.37291666666664,-61.26415277777778,1439.0,Gaia EDR3 5337234023440707712,0.4693,-7.058,1.904,0.129,20.1,9.999372,10.047304,9.844617,,291.4369538367,-0.5976170742,,2.8174355741185565e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1440,HD 306209,Classical,10.01,B1Ve,,0,168.39470833333334,-61.345225,1440.0,Gaia EDR3 5337231893136804992,0.4433,-4.44,1.053,0.123,17.0,9.961472,10.028003,9.776902,,291.4765880098,-0.6691262773,,2.9175210211672393e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1441,V338 Car,Classical,9.35,B9e,,2,168.46795833333334,-58.60843611111111,1441.0,Gaia EDR3 5339368038085916800,0.9777,-12.197,4.706,0.195,40.8,9.065251,9.417482,8.474005,-1.03,290.50305974,1.8889936,5250.0,6.660431925996516e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1442,HD 97792,Classical,7.97,B2.5Vnne,,0,168.58333333333334,-56.04756388888889,1442.0,Gaia EDR3 5340137593126721792,1.0289,-10.169,3.082,0.251,48.1,7.843375,7.809467,7.800126,,289.6190756188,4.2937586024,,2.0523564656872116e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1443,HD 306267,Classical,10.66,Oe,,0,168.68483333333336,-60.36946388888889,1443.0,Gaia EDR3 5337751137511704832,0.4402,-5.346,1.097,0.095,10.4,10.600446,10.784297,10.253225,,291.2504015659,0.2905160023,,1.6196620031855493e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1444,HD 98001,Classical,8.88,B6Ve,,0,168.87645833333335,-56.661630555555554,1444.0,Gaia EDR3 5340084365563020544,0.9319,-7.209,1.482,1.763,3480.0,8.898575,8.792423,8.77682,,289.9952115885,3.781245314,,7.765560255533263e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1445,phi Leo,Classical,4.467,A7IVne,250,1071,169.16541666666666,-3.6516055555555553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1446,HD 306299,Classical,10.6,B2Ve,,0,169.43895833333335,-61.139433333333336,1446.0,Gaia EDR3 5337411732009477504,0.3468,-6.103,0.846,0.235,59.1,10.471711,10.489783,10.350863,,291.8707618913,-0.295766057,,1.8235530153479567e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1447,HD 98624,Classical,9.88,B1Vne,,0,170.023125,-61.23343055555556,1447.0,Gaia EDR3 5337384587818983296,0.4233,-7.661,1.339,0.102,11.5,9.632578,9.836142,9.238403,,292.1673847677,-0.2854062821,,3.9497680630797895e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
