angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,main_id,_RAJ2000_Simbad,_DEJ2000_Simbad,main_type,other_types,radvel,redshift,sp_type,plx,pmra,pmdec,B,V,R,J,H,K,u,g,r,i,z
0.096454,2131,V2144 Cyg,Classical,21 00 49.86,46 34 42.91,7.28,B5Ve,,106,TYC 3588-8345-1,315.2077166667,46.5785722222,Star,** |** |*  |V* |Be*|UV |IR,,,,,-3.9,-6.5,7.28,7.39,,,,,,,,,
0.026062,2132,60 Cyg,Classical,21 01 10.93,46 09 20.78,5.417,B1Ve,320,374,*  60 Cyg,315.2955324273,46.1557756058,Be*,V* |EB*|X  |Be*|*  |** |UV |Em*|IR,-11.6,-0.000039,B1Ve,2.056,7.7,1.85,5.226,5.432,,5.86,5.952,5.993,,,,,
0.429251,2133,V1546 Cyg,Classical,21 02 02.49,43 30 46.69,17,B9.5Ve,,2,EM* LkHA  195,315.5102536771,43.5128889718,Orion_V*,V* |*  |IR |Em*|Or*|Y*?,,,B9.5Ve,0.1789,-3.08,-3.54,,,,11.849,11.341,10.884,,,14.56,13.39,
0.058959,2134,GSC 03588-00834,Classical,21 03 35.71,45 45 05.51,14.25,B0Ve,,1,GSC 03588-00834,315.8987921954,45.7515469288,HMXB,HXB|X  |IR |gam|*  |Be*|Psr|HXB|HXB,,,B0Ve,0.1165,-3.53,-3.17,15.34,14.2,13.49,11.842,11.535,11.362,,,,,
0.204301,2135,EM* CDS 1215,Classical,21 04 52.10,47 55 59.16,10.48,B1Vnne,,2,Hilt 1035,316.2171661683,47.9330881500,Em*,*  |IR |Em*,,,B1Vnne,0.4043,-1.3,-2.79,10.96,10.48,,9.33,9.121,8.854,,,,,
0.065602,2136,BD+47 3302,Classical,21 08 26.54,47 40 26.33,10.5,B2Vnpe,,4,BD+47  3302,317.1106095808,47.6739761160,Be*,Be*|*  |IR |Em*,,,B2V:npe,0.4129,-4.16,-3.83,10.9,10.5,,9.634,9.44,9.186,,,,,
0.004235,2137,HD 201522,Classical,21 08 29.63,47 15 25.37,7.9,B0Ve,,78,HD 201522,317.1234596230,47.2570480081,Be*,UV |*  |Be*|IR |Em*,-5,-0.000017,B5V,2.1936,4.68,0.23,7.84,7.9,,8,8.022,8.114,,,,,
0.017415,2138,V2148 Cyg,Classical,21 09 58.63,45 30 09.20,6.61,B4IVpe,340,396,HD 201733,317.4942978205,45.5025533648,Be*,V* |*  |Be*|UV |*iC|IR |Em*,9,0.00003,B4IVp,2.3119,8.06,0.18,6.47,6.63,,6.798,6.901,6.915,,,,,
0.036406,2139,HD 201836,Classical,21 10 30.96,47 41 32.02,6.492,B6IVe,120,83,HD 201836,317.6289850087,47.6922271139,Be*,UV |** |IR |*,0,0,B6IV,2.36,-4.88,-2.36,,,,6.294,6.36,6.352,,,,,
0.057841,2139,HD 201836,Classical,21 10 30.96,47 41 32.02,6.492,B6IVe,120,83,HD 201836A,317.6289799307,47.6922364761,Star,,,,,1.3787,-1.95,-2.46,6.53,6.55,,,,,,,,,
0.13124,2140,EM* CDS 1228,Classical,21 13 32.62,48 23 20.59,10.51,B2Vne,,38,Hilt 1042,318.3859702585,48.3890606802,Be*,Be*|IR |Em*|*,,,B2V:ne,0.3593,-4.11,-4.15,11.04,10.4,,8.91,8.699,8.546,,,,,
0.023591,2141,V420 Cep,Classical,21 14 45.48,59 45 39.70,8.66,B2Ve,,92,HD 239618,318.6895120404,59.7610302629,Be*,Em*|V* |*  |Be*|*iC|IR,-8,-0.000027,B2Ve,0.7685,-1.34,-0.52,9.01,8.66,,7.583,7.437,7.241,,,,,
0.014395,2142,V421 Cep,Classical,21 17 18.79,58 36 41.34,6.432,B2IIIe,90,187,HD 203025,319.3282868846,58.6114802053,Be*,*iN|V* |Em*|** |UV |IR |Be*|*iC|SB*|*,-17.2,-0.000057,B2IIIe,1.2428,-3.62,-2.13,6.579,6.425,,5.915,5.919,5.877,,,,,
0.105132,2143,ups Cyg,Classical,21 17 55.08,34 53 48.83,4.43,B2Vne,185,1427,* ups Cyg,319.4795292317,34.8968805486,Be*,Be*|V* |Em*|** |*  |UV |IR,-0.7,-0.000002,B2Vne,5.349,4.82,-2.08,4.32,4.42,4.37,4.4,4.34,4.15,,,,,
0.45791,2143,ups Cyg,Classical,21 17 55.08,34 53 48.83,4.43,B2Vne,185,1427,CCDM J21179+3454AC,319.4794000000,34.8968000000,**,**,,,,,,,,,,,,,,,,,
0.45791,2143,ups Cyg,Classical,21 17 55.08,34 53 48.83,4.43,B2Vne,185,1427,CCDM J21179+3454AB,319.4794000000,34.8968000000,**,**,,,,,,,,,,,,,,,,,
