angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,Source,4XMM,RA_ICRS,DE_ICRS,srcML,Flux8,e_Flux8,HR1,HR2,HR3,HR4,ext,V,S,Nd,xcatDBdet,xcatDB,IRAP
1.235075,1046,19 Mon,Classical,07 02 54.78,-04 14 21.24,4.99,B1Ve,270,2983,105.728115,-4.23954889,207610909010001,J070254.7-041422,105.728115,-4.239549,330.233,4.93827E-14,7.2375E-15,0.193497,-0.697531,-0.94908,-0.30271,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.120739,1080,HD 57682,Classical,07 22 02.05,-08 58 45.77,6.403,O9Ve,,689,110.50856111,-8.97935306,206503202010001,J072202.0-085845,110.508561,-8.979353,9294.96,5.76129E-13,1.47401E-14,0.697483,-0.203738,-0.735771,-0.933252,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.158192,1116,BN Gem,Classical,07 37 05.73,16 54 15.30,6.921,O8Vpev,362,475,114.27391194,16.90427611,206700802010002,J073705.7+165415,114.273912,16.904276,586.403,6.75965E-14,8.20189E-15,0.455885,-0.363218,-0.581497,-0.201129,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.061410,1143,V392 Pup,Classical,07 46 10.54,-37 56 01.21,5.87,B7Ve,,2,116.54393806,-37.93366694,206947304010023,J074610.5-375601,116.543938,-37.933667,1906.79,4.32629E-14,2.4476E-15,0.643803,-0.66979,-0.994461,0.978244,0.0,0,0,2,xcatDBdet,xcatDB,IRAP
0.050398,1168,V374 Car,Classical,07 58 50.55,-60 49 28.06,5.81,B2IVnpe,200,5,119.71065111,-60.82446694,201138906010001,J075850.5-604928,119.710651,-60.824467,3758.05,1.88804E-13,4.97905E-15,0.620428,0.191988,-0.374043,-0.415911,0.0,0,0,9,xcatDBdet,xcatDB,IRAP
0.920105,1330,HD 90563,Classical,10 25 52.46,-58 47 07.13,9.86,B2Ve,,1,156.46885,-58.78509889,207800707010004,J102552.5-584706,156.46885,-58.785099,76.928,1.83725E-13,4.36804E-14,-0.077793,0.975595,0.104557,0.019541,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
1.481113,1411,HD 305891,Classical,11 02 29.99,-60 48 55.86,10.37,B3Ve,,1,165.62537889,-60.81516,201525701010035,J110230.0-604854,165.625379,-60.81516,113.9,3.17376E-14,5.11125E-15,0.789462,0.410426,-0.537991,-0.802191,0.0,1,0,1,xcatDBdet,xcatDB,IRAP
0.265825,1509,V863 Cen,Classical,12 08 05.22,-50 39 40.57,4.448,B6IIIe,,30,182.02185111,-50.66130611,207423401010002,J120805.2-503940,182.021851,-50.661306,1428.5,1.0094E-13,5.81739E-15,0.540278,-0.419072,-0.772441,-0.967697,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.255996,1510,del Cen,Classical,12 08 21.50,-50 43 20.74,2.561,B2Vne,260,25,182.08967306,-50.722385,207423401010003,J120821.5-504320,182.089673,-50.722385,1090.44,9.90483E-14,8.64047E-15,0.579654,-0.636978,-0.891797,-0.254758,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.320057,1537,BZ Cru,Classical,12 42 50.27,-63 03 31.05,5.316,B0.5IVpe,400,81,190.70961889,-63.05857389,201094801010001,J124250.3-630330,190.709619,-63.058574,1122710.0,1.84274E-11,4.11075E-14,0.779334,0.586491,-0.045437,-0.221387,0.0,1,1,4,xcatDBdet,xcatDB,IRAP
0.073503,1563,CPD-63 2495,Classical,13 02 47.66,-63 50 08.67,10.08,B2e,,3,195.69860611,-63.83572389,200928201010001,J130247.6-635008,195.698606,-63.835724,1801780.0,6.5108E-12,2.01977E-14,0.80506,0.6448,-0.069618,-0.392271,0.0,0,1,16,xcatDBdet,xcatDB,IRAP
0.595020,1591,HD 117357,Classical,13 31 15.49,-61 43 57.42,9.14,O9.5Ve,,0,202.81424306,-61.73253111,207203002010037,J133115.4-614357,202.814243,-61.732531,16.2011,1.10305E-14,9.60198E-15,0.739566,-1.0,1.0,0.884712,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.153719,1601,HD 119682,Classical,13 46 32.57,-62 55 24.13,7.908,B0Ve,200,15,206.63562611,-62.92339,200879402010001,J134632.5-625524,206.635626,-62.92339,42484.4,1.57766E-12,1.83276E-14,0.737911,0.404723,-0.212558,-0.329525,0.0,1,1,2,xcatDBdet,xcatDB,IRAP
1.421188,1611,V767 Cen,Classical,13 53 57.24,-47 07 41.39,5.83,B2Ve,130,53,208.48794111,-47.12827,204021218010001,J135357.1-470741,208.487941,-47.12827,47712.6,3.74693E-12,5.84637E-14,0.565522,0.220793,-0.224949,-0.457467,0.0,1,1,1,xcatDBdet,xcatDB,IRAP
0.884842,1709,48 Lib,Classical,15 58 11.37,-14 16 45.69,4.943,B8IIe,390,344,239.54714306,-14.27925889,206754702010001,J155811.3-141645,239.547143,-14.279259,265462.0,1.75517E-13,2.68599E-15,-0.784253,-0.952978,-0.983895,0.783485,0.0,1,3,4,xcatDBdet,xcatDB,IRAP
0.020826,1812,V1075 Sco,Classical,17 15 19.25,-33 32 54.31,5.612,O8Ve,211,24,258.83020389,-33.548415,205544401010002,J171519.2-333254,258.830204,-33.548415,57776.4,6.02871E-13,5.48789E-15,0.569894,-0.719255,-0.951039,-0.923834,0.0,0,1,1,xcatDBdet,xcatDB,IRAP
0.633534,1827,gam Ara,Classical,17 25 23.66,-56 22 39.81,3.312,B1IIe,302,54,261.34889111,-56.37776889,202015501010001,J172523.7-562239,261.348891,-56.377769,41398.4,6.59326E-13,7.2067E-15,0.613503,-0.41348,-0.815782,-0.91477,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
0.710596,1829,V750 Ara,Classical,17 27 54.81,-47 01 34.40,6.652,B2Vne,310,44,261.97816,-47.02609,205510201010002,J172754.7-470133,261.97816,-47.02609,32939.1,4.0038E-12,7.99243E-14,0.706839,0.445018,-0.180608,-0.194018,0.0,1,0,1,xcatDBdet,xcatDB,IRAP
0.947038,1838,Cl* NGC 6383 FJL 24,Classical,17 34 47.94,-32 35 20.29,11.38,B9Ve,,0,263.70004806,-32.58889111,200017302010015,J173448.0-323520,263.700048,-32.588891,64.3219,1.67491E-14,3.45416E-15,0.760427,0.130359,-0.73235,-0.466477,0.0,0,0,1,xcatDBdet,xcatDB,IRAP
1.354375,1851,V3892 Sgr,Classical,17 44 45.78,-27 13 44.50,8.69,Oe,,0,266.19035389,-27.22916,202012001010001,J174445.6-271344,266.190354,-27.22916,26225.3,1.53885E-12,1.98996E-14,0.797074,0.500925,-0.140665,-0.409862,0.0,1,1,2,xcatDBdet,xcatDB,IRAP
1.119052,1875,HD 316568,Classical,17 54 42.71,-29 43 47.61,9.57,B2IVpe,,0,268.67783806,-29.72959889,202065902010004,J175442.6-294346,268.677838,-29.729599,809.138,8.83682E-14,6.96184E-15,0.680983,0.40654,-0.286805,-0.219796,0.0,0,0,2,xcatDBdet,xcatDB,IRAP
0.697667,1891,Cl* NGC 6530 ZCW 175,Classical,18 04 11.17,-24 21 45.11,10.37,B3Ve,,0,271.04633,-24.36255,200088201010462,J180411.1-242145,271.04633,-24.36255,94.4576,8.80529E-15,1.31448E-15,0.80776,-0.109916,-0.881935,-0.423303,0.0,0,3,4,xcatDBdet,xcatDB,IRAP
0.965533,1893,HD 164906,Classical,18 04 25.84,-24 23 08.35,7.45,B0Ve,255,49,271.1075,-24.38587389,200088201010325,J180425.7-242309,271.1075,-24.385874,25.2633,1.94498E-14,4.16348E-15,0.936011,-0.239177,-0.4256,-0.904643,0.0,0,1,2,xcatDBdet,xcatDB,IRAP
