#,Be star,Category,V,SpecType,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,_q,DR2Name,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,AG,RV,GLON,GLAT,Teff,Lum,Rad,Plx,Gflux,Name,Type,Pos,Opt,r_Opt,l_Vmag,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,E_B-V_,E_B-V_2,u_E_B-V_,r_Vmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,l_FX,FX,FXu,Range,r_FX,Porb,u_Porb,Ppulse,u_Ppulse,r_Porb,SpType,Name2,Name3,Name4,Simbad,_4XMM,Flux1,Flux2,Flux3,Flux4,Flux5,Flux8,Flux9,Cst,Fvar,e_Fvar,Vflag,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,VaKSb,VaKPb,VaGLb,Vib,HR_21,HR_32,HR_43,HR_54,HR_su,HR_ms,HR_hm,B_ox,flags
1200,HD 69404,Classical,6.43,B2Vnne,,3,123.71349999999998,-46.48589166666667,1200.0,b'Gaia DR2 5519364860379766528',-5.795,7.817,0.194,14.2,6.359,6.3337,6.4468,0.117,,262.5754056767,-6.46158355532,8765.33,,,2.3982,6.22170408468367e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1201,HD 69425,Classical,9.1,B1Vpe,,1,123.87670833333333,-37.117494444444446,1201.0,b'Gaia DR2 5541351309058063872',-3.819,4.073,0.0,0.0,8.8968,9.0012,8.6847,,,254.81492749875,-1.18265635529,8662.5,,,0.452,6.008822171500245e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1202,HD 69651,Classical,10.16,B9Vne,,2,123.93095833333334,-48.34421944444444,1202.0,b'Gaia DR2 5516000522296983424',-5.272,5.967,0.109,4.62,10.1522,10.1875,10.088,0.448,,264.22359999562,-7.354796286,9153.5,,,0.804,1.8907292872672e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1203,HD 70064,Classical,10.09,B5Ve,,2,124.51175,-45.642180555555555,1203.0,b'Gaia DR2 5519785664097531648',-5.58,5.678,0.149,8.76,10.1047,10.0981,10.1226,0.4095,,262.17510139196,-5.53417365456,9666.0,,,0.698,1.9752831154809768e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1204,HD 70234,Classical,8.83,B9IIIe,,1,124.90854166666666,-31.823475,1204.0,b'Gaia DR2 5547292696249430400',-5.7,2.72,0.105,4.83,8.7635,8.8042,8.6863,0.5503,,250.90704418156,2.48950278238,9164.25,,,0.8235,6.793746715169644e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1205,HD 70461,Classical,8.99,B6Ve,266.0,0,125.30591666666666,-26.333133333333333,1205.0,b'Gaia DR2 5693651369080360448',-3.77,1.698,0.217,25.5,8.8924,8.8348,8.9992,0.118,,246.55522601946,5.87056654794,8868.67,,,0.5553,6.033222631015132e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1206,HD 70340,Classical,6.5,A2Vnnpe,33.0,136,125.3345,-1.602036111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1207,CD-37 4605,Classical,9.548,Be,,0,125.52166666666666,-37.507475,1207.0,b'Gaia DR2 5542031326950678784',-4.379,3.315,0.0,0.0,9.4695,,,,,255.87431006951,-0.32149459792,,,,0.4973,3.5457601228664714e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1208,HD 71042,Classical,9.44,B2.5ne,,0,125.84541666666667,-45.75306388888889,1208.0,b'Gaia DR2 5516874432182644480',-7.184,2.712,1.075,320.0,9.3946,9.4731,9.2226,0.8483,,262.79341455509,-4.82650550762,8984.67,,,1.0421,3.7990005064016894e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1209,HD 71072,Classical,6.89,B4IIIe,,119,126.25166666666667,-12.76478611111111,1209.0,b'Gaia DR2 5724008575871798400',-8.017,1.68,0.189,15.7,6.8625,6.8205,6.9812,0.1093,,235.56455722626,14.11464264648,8868.67,,,1.4288,3.9129955269345895e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1210,CD-44 4392,Classical,9.25,B2IVe,,2,126.32433333333333,-45.162755555555556,1210.0,b'Gaia DR2 5522897763037234560',-5.124,5.235,0.0,0.0,9.1306,9.2739,8.8706,1.147,,262.50010982007,-4.21343656257,7811.5,476.616,11.92,0.5957,4.844727466636216e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1211,HD 71510,Classical,5.159,B2Ve,158.0,4,126.38054166666666,-51.72741666666667,1211.0,b'Gaia DR2 5322244690627583104',-15.047,17.555,0.745,223.0,5.1295,5.0683,5.32,0.0823,,267.94246697629,-7.93096775082,8868.67,,,4.6791,1.930675793243662e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1212,HD 71823,Classical,8.82,B3Vne,,2,126.86733333333335,-47.72878055555555,1212.0,b'Gaia DR2 5515664179122582656',-6.059,5.3,0.103,4.02,8.678,8.7307,8.614,0.4865,,264.82177802016,-5.38508368047,8774.67,,,0.6853,7.350372546655174e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1213,NR Vel,Classical,7.67,B2Ve,,3,126.96033333333334,-50.10001944444444,1213.0,b'Gaia DR2 5322668277484187648',-6.566,6.26,0.075,1.61,7.6548,7.7022,7.5778,0.501,,266.80600818131,-6.70160917113,9048.0,,,0.8008,1.886206996492533e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1214,HD 72014,Classical,6.577,B1.5Vnne,,7,127.21691666666666,-42.587475,1214.0,b'Gaia DR2 5526573774005244800',-8.33,8.691,0.239,21.3,6.2166,6.2054,6.2262,0.385,,260.77171427522,-2.19657946758,9368.5,,,1.2531,7.093643382040009e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1215,HD 72067,Classical,5.81,B2Vne,,3,127.28154166666667,-44.16041388888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1216,HD 72126,Classical,9.31,B2nne,,0,127.33616666666667,-43.84221111111111,1216.0,b'Gaia DR2 5523066503711021056',-5.031,4.604,0.065,1.63,9.2003,9.2793,9.0309,0.8775,,261.84143347637,-2.85982123335,8930.0,,,0.6168,4.5434876452334297e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1217,HD 72063,Classical,9.36,B2Vne,,0,127.40716666666665,-34.93061111111111,1217.0,b'Gaia DR2 5542757863615582720',-4.785,3.445,0.099,4.36,9.1794,9.2573,8.9712,,,254.65197024449,2.40973951743,8881.33,,,0.4224,4.631795233248038e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1218,HD 72043,Classical,8.83,B8e,,55,127.58529166666665,-10.61623611111111,1218.0,b'Gaia DR2 5751305974960462208',-4.121,1.86,0.179,14.4,8.7406,8.7379,8.7221,0.318,,234.41815171245,16.37261628504,9189.0,,,0.9227,6.938560052994552e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1219,NS Vel,Classical,7.3,B6IIIe,,2,127.77470833333334,-39.06096388888889,1219.0,b'Gaia DR2 5529422780429017728',-8.022,5.417,0.162,8.72,7.3375,7.3395,7.3743,0.226,,258.16564018272,0.21704790059,9624.0,,,1.1158,2.526442110159008e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1220,HD 72551,Classical,9.49,B4Ve,,0,128.03625,-36.10755555555556,1220.0,b'Gaia DR2 5542361313566530816',-4.979,4.511,0.188,14.9,9.467,9.4844,9.4386,0.269,,255.90565904647,2.13032387416,9266.0,,,0.9008,3.553933944116797e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1221,FY Vel,Classical,6.9,B2IIpshe,,11,128.09741666666665,-49.601325,1221.0,b'Gaia DR2 5323025172085847168',-4.551,4.252,0.0,0.0,6.7905,6.9541,6.4835,0.8885,,266.82666725537,-5.81516302821,7829.5,4314.502,35.7,0.5821,4.181280965958913e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1222,V471 Car,Classical,8.06,B5ne,,4,129.21958333333333,-63.62761666666667,1222.0,b'Gaia DR2 5276711165339107840',-5.134,5.8,0.081,2.13,7.9898,8.0203,7.9232,0.644,,278.77227061803,-13.47342048977,9288.0,,,1.2198,1.385445197138743e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1223,CD-44 4636,Classical,10.96,Be,,0,129.22,-44.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1224,HD 73903,Classical,9.05,B3IIe,,2,129.74533333333335,-46.2271,1224.0,b'Gaia DR2 5521672799702366080',-5.922,4.963,0.048,0.849,8.9333,9.0716,8.705,1.043,,264.77454309743,-2.9138317159,7764.5,784.577,15.48,0.5075,5.810176847469123e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1225,CD-45 4355,Classical,9.47,B8e,,0,129.77420833333332,-46.2453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1226,CD-40 4488,Classical,10.83,B6Ve,,0,129.882,-40.471694444444445,1226.0,b'Gaia DR2 5528335432147052416',-5.501,2.962,0.0,0.0,10.7726,10.8907,10.5588,,,260.26597344242,0.66690457581,8185.33,,,1.1547,1.0677494378366103e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1227,CD-45 4394,Classical,10.27,B2Vne,,0,130.21220833333334,-46.09594444444444,1227.0,b'Gaia DR2 5522000733351648768',-5.27,4.708,0.0,0.0,10.0292,10.1844,9.7479,0.954,,264.86760290823,-2.57749484006,7985.0,294.704,8.97,0.505,2.1175289251511692e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1228,HD 74401,Classical,9.21,B1IIIne,,0,130.50158333333334,-47.664991666666666,1228.0,b'Gaia DR2 5329322556222454144',-5.432,5.1,0.0,0.0,8.8541,9.0521,8.5252,1.2175,,266.23096393262,-3.38204819402,6996.0,728.626,18.37,0.5372,6.249846507267105e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1229,HD 74559A,Classical,10.3,B9Ve,,0,130.69012500000002,-48.08687777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1230,HD 74559B,Classical,10.3,B9Ve,,0,130.69358333333335,-48.090425,1230.0,b'Gaia DR2 5329110419198060800',-4.424,3.458,0.164,10.0,9.2532,9.2475,9.2744,0.2867,,266.64648628184,-3.54184416745,9688.25,,,1.2392,4.3274230243941585e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1231,HD 75485,Classical,8.01,B9IIe,,5,130.73604166666667,-77.1177888888889,1231.0,b'Gaia DR2 5209519666165017344',-1.701,9.397,5.804,11900.0,7.9918,8.0285,7.9227,0.429,,290.77855000528,-20.59326968886,9276.0,,,0.1417,1.3828954618862064e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1232,HD 74867,Classical,8.71,B7IVe,,0,131.25841666666668,-41.51618333333333,1232.0,b'Gaia DR2 5525056134417257856',-8.63,5.596,0.165,11.0,8.6849,8.6763,8.7085,0.247,,261.72872199928,0.84240348667,9577.5,,,1.1863,7.303808056401446e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1233,HD 75081,Classical,6.205,B9Ve,,0,131.599,-41.125391666666665,1233.0,b'Gaia DR2 5525443132449889152',-21.374,7.342,0.232,19.2,6.1714,6.1761,6.2082,0.309,,261.58264847717,1.28601972287,9653.0,,,4.381,7.395190253928207e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1234,f Car,Classical,4.51,B3Vne,268.0,9,131.67729166666666,-56.769775,1234.0,b'Gaia DR2 5316544444395570560',-8.767,11.134,1.462,922.0,4.4451,4.3811,4.6317,0.0495,,273.89565183672,-8.4141191715,8868.67,,,5.7356,3.626346938835145e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1235,OR Vel,Classical,9.01,B3Vne,,2,132.08691666666667,-46.91053888888889,1235.0,b'Gaia DR2 5329568365796878464',-5.361,4.611,0.0,0.0,8.9495,9.0659,8.7254,,,266.30814256445,-2.07076188872,8215.0,,,0.3277,5.724128194803618e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1236,HD 75551,Classical,9.24,B2Vne,,4,132.14329166666667,-50.37029166666667,1236.0,b'Gaia DR2 5327822130854385280',-5.991,4.43,0.0,0.0,9.1616,9.2833,8.9617,0.6047,,269.02643067956,-4.21678662396,7889.0,296.086,9.21,0.7477,4.708356638731417e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1237,HD 75661,Classical,9.02,B2Vne,,4,132.225125,-54.27294166666667,1237.0,b'Gaia DR2 5317449582988782592',-6.082,5.441,0.14,6.64,8.9788,9.0242,8.838,,,272.11383675572,-6.62249834028,9306.0,,,0.5932,5.571720873491371e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1238,HD 75658,Classical,8.12,B2.5ne,,1,132.35308333333333,-47.48864722222222,1238.0,b'Gaia DR2 5329486486537914624',-6.878,4.973,0.0,0.0,7.9416,8.0854,7.6814,,,266.87131944402,-2.29483381239,7725.5,1071.559,18.27,0.6846,1.448336085906498e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1239,CD-47 4412,Classical,9.59,A5e,,2,132.47404166666666,-48.06086666666667,1239.0,b'Gaia DR2 5328689237524103552',-5.633,4.525,0.0,0.0,9.5089,9.7819,9.0805,,143.08,267.36655111299,-2.59353474557,6341.0,816.451,23.68,0.375,3.4193956230531797e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1240,CD-46 4657,Classical,10.28,A1IIe,,0,132.60945833333335,-46.58459166666667,1240.0,b'Gaia DR2 5329670139338426752',-4.912,4.947,0.0,0.0,10.3689,10.5588,10.0292,1.1895,,266.28171676336,-1.58728068096,7128.0,227.225,9.88,0.4795,1.5486360024138176e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1241,GW Vel,Classical,8.97,B2Vne,,2,132.64933333333335,-45.549102777777776,1241.0,b'Gaia DR2 5331423722933241856',-5.089,4.849,0.0,0.0,9.6871,9.822,9.4684,,,265.49876953585,-0.90862587028,7800.0,835.632,15.83,0.348,2.9018125286193814e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1242,HD 75740,Classical,9.5,A0IIIe,,0,132.72529166666666,-26.351541666666666,1242.0,b'Gaia DR2 5652176759676555904',-6.708,2.259,0.153,10.9,9.5628,9.5806,9.5387,0.35,,250.5357614276,11.22916803877,9204.5,,,0.844,3.25378873651766e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1243,HD 75925,Classical,8.95,B4Vnne,,0,132.86679166666664,-41.85744444444445,1243.0,b'Gaia DR2 5524544384776205568',-5.221,3.776,0.0,0.0,8.8397,8.9544,8.6181,0.7257,,262.75005716941,1.56095264362,8422.0,,,0.9305,6.33328966038024e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1244,CD-45 4676,Classical,9.09,B0.5IIIe,,0,133.34170833333332,-46.035783333333335,1244.0,b'Gaia DR2 5331167124402148736',-5.176,4.773,0.0,0.0,8.7496,9.2096,8.0426,,,266.18182058995,-0.84767505999,4905.67,750.326,37.92,0.5951,6.88128192912756e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1245,HD 76568,Classical,9.45,B1Vnne,,2,133.74087500000002,-50.863991666666664,1245.0,b'Gaia DR2 5324650422076805504',-7.698,6.648,0.0,1.97e-15,9.416,9.5284,9.203,0.8423,,270.05431899011,-3.7480989131,8225.33,,,0.9251,3.724854829434235e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1246,OU Vel,Classical or Herbig,8.04,B2Vne,202.0,8,133.78629166666667,-43.466636111111114,1246.0,b'Gaia DR2 5332070987385762304',-5.679,5.608,0.0,0.0,8.2765,8.3092,8.0489,,,264.41890925368,1.04774973132,9189.0,,,1.0894,1.0639209270768876e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1247,HD 76985,Classical,9.05,B5Vne,,2,134.19641666666666,-59.520002777777776,1247.0,b'Gaia DR2 5303085219480921600',-6.708,5.796,0.114,5.2,9.0438,9.0785,8.986,0.3833,,276.90655366949,-9.10196378497,9020.0,,,1.0885,5.247945925470683e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1248,CD-29 6963,Classical,9.25,Be,,0,134.20104166666667,-30.183858333333333,1248.0,b'Gaia DR2 5641493526747324416',-0.265,3.344,0.0,0.0,9.1317,9.2797,8.8547,0.7253,,254.40166473461,9.83988468604,7994.67,1733.486,21.7,0.315,4.839821577438373e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1249,HD 76838,Classical,7.31,B2IVe,,0,134.28145833333335,-43.25618611111111,1249.0,b'Gaia DR2 5332087896670214656',-5.341,7.941,1.28,580.0,7.3648,7.3764,7.3573,0.144,,264.49192840617,1.45832445016,9280.0,,,0.0365,2.4637086678091435e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1250,HD 77032,Classical,8.68,B5Vne,,3,134.31425,-58.58601111111111,1250.0,b'Gaia DR2 5303386897984765440',-6.259,4.39,0.125,6.07,8.6383,8.6648,8.598,0.468,,276.21929895685,-8.45800962332,9316.25,,,0.8394,7.624113472532701e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1251,HD 77147,Classical,8.45,B8Ve,,1,134.347,-63.496919444444444,1251.0,b'Gaia DR2 5297543543432635008',7.8,-7.45,0.136,6.84,8.4084,8.4499,8.3434,0.4377,,280.07477082199,-11.57359541365,9132.0,,,1.2844,9.42213562793946e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1252,HD 76868,Classical,8.04,B5e,,153,134.74720833333333,3.6561055555555555,1252.0,b'Gaia DR2 578483097784850176',-1.569,-4.962,0.067,2.37,7.6594,7.8607,7.3224,,,225.15961866035,29.88507994484,7038.5,207.766,9.69,1.7446,1.878232501531218e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1253,CD-46 4821,Classical,9.08,Be,,0,135.0585,-46.685722222222225,1253.0,b'Gaia DR2 5330149285872275584',-10.364,4.592,1.021,347.0,8.9833,9.1582,8.7044,1.1993,,267.44570759943,-0.3693046898,7224.0,53.275,4.66,1.877,5.548675812806412e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1254,IU Vel,Classical,6.05,B2.5Vne,345.0,1,135.09275,-43.173988888888886,1254.0,b'Gaia DR2 5332125176988204928',-9.151,-0.225,0.249,27.4,6.0434,5.9586,6.198,,,264.81656612336,1.95932209529,8868.67,,,2.34,8.320498592050974e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1255,CD-45 4826,Classical,10.16,Be,,0,136.02720833333333,-45.67677222222222,1255.0,b'Gaia DR2 5330668461522426496',-5.338,4.652,0.0,0.0,9.8764,10.266,9.3383,,,267.13424739332,0.80150147405,5456.75,690.713,29.41,0.3522,2.4375265310948154e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1256,HD 78328,Classical,9.2,B9.5IIIe,,1,136.26566666666668,-58.76765555555556,1256.0,b'Gaia DR2 5303237604924013952',-5.551,5.073,0.11,4.62,9.1135,9.1893,8.9835,0.942,,277.02594157979,-7.80653147631,8551.5,,,0.5458,4.921634424110235e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1257,E Car,Classical,4.654,B2IVe,120.0,4,136.40991666666667,-70.5385,1257.0,b'Gaia DR2 5222191159719547776',-3.017,8.394,1.709,1110.0,4.5927,4.559,4.7475,0.165,,286.19072476566,-15.42953935411,8868.67,,,3.244,3.1654054913985084e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1258,HD 78482,Classical,9.54,B8Ve,,0,136.92441666666667,-29.003325,1258.0,b'Gaia DR2 5635993116747405696',-6.902,2.326,0.185,20.1,9.5473,9.5836,9.4671,0.5648,,255.04282845401,12.40993907315,9374.0,,,1.1122,3.3005730668731184e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1259,HD 298298,Classical,9.16,B0e,,1,137.114375,-52.57774444444444,1259.0,b'Gaia DR2 5311817162886189056',-4.968,3.76,0.0,0.0,9.0492,9.2309,8.7512,1.2153,,272.7256005134,-3.30845620475,7205.0,638.576,16.22,0.5258,5.221909627154331e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1260,HD 79206,Classical,7.73,B3.5Vne,,2,137.67508333333333,-53.04581388888889,1260.0,b'Gaia DR2 5311742670970115328',-10.066,8.014,0.087,2.01,7.7101,7.6954,7.7368,0.146,,273.30030889363,-3.37727131769,8982.5,,,1.1778,1.7925420465882087e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1261,HD 79066,Classical,6.35,A9IVe,29.0,870,137.98179166666668,5.468625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
1262,HD 79621,Classical,5.905,B9Ve,,1,138.39354166666666,-47.33840555555555,1262.0,b'Gaia DR2 5327251969654166912',-25.42,13.776,0.225,19.1,5.882,5.8873,5.9117,0.3285,,269.45984481433,0.87126692556,9702.5,,,5.9021,9.654045724659042e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
