BeSS #,Be star,Type,Simbad classification,Literature classification,Classification source,Vmag,vsini,RA,Dec,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,rpgeo,b_rpgeo,B_rpgeo,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,N_H,Gamma,HR1,HR2,Flux (0.3-1 keV),Flux (1-2 keV),Flux (2-10 keV),X-ray source
520,HD 14162,Be,Em*,?,,9.37,,34.86437,57.13838,,,,,,,,,,,,,,8.4894,0.0003,8.4919,0.0006,,,,,,,,,,,,,1.0,0.0399,0.0,3.046298e-16,3.299743e-16,CXO
536,NGC 884 2079,Be,Be*,?,,9.61,,35.42883,57.30806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0288,-0.2041,1.34609e-15,1.27063e-15,8.399124e-16,XMM
597,V615 Cas,B0Ve,HMXB,Be/BH binary,https://ui.adsabs.harvard.edu/abs/2017MNRAS.468.3689M/abstract,10.8,,40.13196,61.22934,0.3776,-0.423,-0.256,0.07,8.11,10.402225,10.956625,9.673551,,1.728705302628521e-13,2473.95679,2406.57007,2544.85718,7.336,0.007,7.287,0.006,6.963,0.017,6.553,0.069,8.621,0.024,8.228,0.021,7.917,0.023,,1.539,-0.7901,-0.5809,2.343022e-12,2.747224e-13,7.282507e-14,CXO
651,HD 237056,B0.5Vpe,Be*,Star,https://ui.adsabs.harvard.edu/abs/2021MNRAS.500.3926B/abstract,8.9,,45.65783,57.61279,0.8836,-0.434,-0.554,0.193,37.2,8.376163,8.731124,7.748621,,1.1172381683821229e-12,1109.54883,1080.85461,1136.05103,7.156,0.025,6.869,0.017,7.307,0.019,7.095,0.117,7.534,0.035,7.381,0.031,7.288,0.023,,0.9991,0.646,0.295,4.041383e-14,1.879129e-13,3.451733e-13,XRT
663,HD 19818,B9.5Vne,*,Star,https://ui.adsabs.harvard.edu/abs/2020MNRAS.493.2528B/abstract,9.06,,47.10867,-59.37372,3.3128,0.11,17.207,0.233,59.8,9.026817,9.097452,8.857716,,6.135983232292465e-13,,,,8.117,0.012,8.083,0.008,7.878,0.018,7.555,0.104,8.486,0.02,8.232,0.055,8.113,0.029,,2.276,-0.121,-0.365,5.295743e-13,4.152505e-13,1.931752e-13,XRT
682,GSC 02342-00359,B5e,**,?,,14.25,,52.293,31.36653,,,,,,,,,,,,,,4.875,0.03,4.475,0.013,-1.559,0.307,-2.762,0.001,,,,,,,134.219,3.1725,-0.559,-0.7908,4.170765e-13,1.179933e-13,1.378294e-14,CXO
688,BQ Cam,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2018acps.confE..46D/abstract,11.3,,53.74954,53.17322,0.1343,-0.268,0.44,0.0,0.0,14.200214,15.475269,13.086571,,5.230285117870032e-15,5883.42285,5484.55127,6301.04053,9.986,0.014,9.76,0.009,9.084,0.029,8.464,0.33,11.817,0.023,11.206,0.03,10.744,0.025,,,-0.1213,-0.7675,1.654578e-14,1.296472e-14,1.705092e-15,CXO
695,MEROPE,B6IVe,Em*,Star,https://en.wikipedia.org/wiki/Merope_(star),4.164,240.0,56.58154,23.94836,,,,,,,,,,,,,,,,,,,,,,4.233,0.24,4.309,0.154,4.22,0.016,87.2032,8.7399,1.0,0.3941,0.0,7.82038e-14,1.799473e-13,CXO
705,Menkhib,O7.5IIIe,**,Star,https://ui.adsabs.harvard.edu/abs/2014MNRAS.441..910R/abstract,4.06,213.0,59.74125,35.79103,2.4457,0.778,2.621,1.328,3190.0,3.974884,3.970395,3.889252,,6.43661249761657e-11,425.826111,376.98407,483.213562,4.0874,0.0002,3.576,0.0004,3.95,0.015,3.761,0.03,3.987,0.27,4.07,0.224,3.953,0.036,,,-0.4921,-0.775,1.530165e-12,5.20856e-13,6.602037e-14,XMM
745,lam Eri,B2IVne,Em*,Star,https://ui.adsabs.harvard.edu/abs/2002MNRAS.332..714B/abstract,4.249,318.0,77.28658,-8.75408,3.6256,1.726,-2.276,1.547,4510.0,4.243453,4.117129,4.385517,,5.0260842494343966e-11,,,,5.333,0.065,4.135,0.051,4.065,0.014,3.653,0.023,4.854,0.204,4.832,0.076,4.713,0.02,,,-0.3936,-0.3454,4.575363e-14,1.99075e-14,9.685015e-15,XMM
