BeSS #,Name,RA,Dec,Class,Gmag,epsi,dist,Catalogs,Literature classification,Reference
1887,HD 164492D,18 02 23.13,-23 01 59.95,Em*,8.810022,0.589,2858.555664,"Gaia, 2CXO",,
1891,Cl* NGC 6530 ZCW 175,18 04 11.17,-24 21 45.11,YSO,10.353526,0.063,1031.844943,"Gaia, 2CXO, 4XMM",,
1893,HD 164906,18 04 25.84,-24 23 08.35,Em*,7.325513,0,1199.468804,"Gaia, 2CXO, 4XMM",,
1895,Cl* NGC 6530 ZCW 221,18 04 29.00,-24 25 26.22,YSO,10.621861,0,1260.336212,"Gaia, 2CXO",,
1896,Cl* NGC 6530 ZCW 228,18 04 32.93,-24 18 44.57,YSO,10.416478,0.076,1033.908698,"Gaia, 2CXO, 4XMM",,
1900,HD 164947,18 04 41.69,-24 20 53.88,,,,,4XMM,Be star,?
1903,Cl* NGC 6530 ZCW 254,18 04 50.61,-24 25 42.08,Em*,11.743335,0,1317.424827,"Gaia, 4XMM",,
1908,HD 165783,18 08 27.09,-19 52 07.96,Em*,8.253382,0,1487.436434,"Gaia, 4XMM",,
1911,V3903 Sgr,18 09 17.70,-23 59 18.23,V*,7.198069,0,1072.418947,"Gaia, 2CXO",O type binary,https://ui.adsabs.harvard.edu/abs/1997A%26A...327.1094V/abstract
1929,Cl* NGC 6611 PPM 38,18 18 39.76,-13 46 55.70,Em*,13.500635,0,1874.022931,"Gaia, 2CXO",,
1930,BD-13 4928,18 18 42.79,-13 46 50.41,Em*,9.921766,0,1753.948019,"Gaia, 2CXO, 4XMM",,
2033,HD 344783,19 43 06.79,23 16 12.40,Em*,9.677315,1.546,1698.680329,"Gaia, 2CXO",,
2059,HD 190864,20 05 39.80,35 36 27.99,Em*,7.676682,0,1936.4059,"Gaia, 4XMM",,
2069,HD 228256,20 11 54.37,40 00 29.63,Em*,9.969179,0,2330.535303,"Gaia, 2SXPS",,
2073,HD 228438,20 13 50.28,36 37 22.53,Em*,8.110167,0,2345.481027,"Gaia, 4XMM, 2SXPS",,
2075,HD 228535,20 14 55.34,36 51 12.83,Em*,10.062037,0,2274.380704,"Gaia, 4XMM",,
2101,V2246 Cyg,20 32 15.19,37 38 15.00,,,0.644,3636.517851,4XMM,,
2106,W Del,20 37 40.09,18 17 03.78,**,9.726952,0.118,796.328639,"Gaia, 4XMM",Algol type variable,https://ui.adsabs.harvard.edu/abs/1896ApJ.....3..200P/abstract
2123,HD 198931,20 52 09.72,44 26 04.61,Em*,8.465517,1.048,805.315168,"Gaia, 2CXO, 4XMM, 2SXPS",,
2134,GSC 03588-00834,21 03 35.71,45 45 05.51,HMXB,13.762235,0,6425.242761,"Gaia, 2CXO, 2SXPS",,
2152,ALFIRK,21 28 39.60,70 33 38.57,V*,2.943437,5.2,105.209244,"Gaia, 4XMM",beta Cep type variable (triple star),
2162,V490 Cep,21 39 30.72,56 59 10.01,HMXB,13.816741,0,10167.83139,"Gaia, 2CXO",,
2171,EM Cep,21 53 48.10,62 36 51.94,Em*,6.940358,1.275,3553.114913,"Gaia, 2CXO",Be/B star,https://ui.adsabs.harvard.edu/abs/2016AJ....152...56K/abstract
2185,BD+53 2790,22 07 56.24,54 31 06.40,HMXB,9.738603,0,3344.543222,"Gaia, 4XMM",O dwarf/accreting magnetar,https://ui.adsabs.harvard.edu/abs/2011BSRSL..80..634B/abstract
2198,pi Aqr,22 25 16.62,01 22 38.63,Em*,4.525897,1.727,289.358414,"Gaia, 4XMM",gamma Cas type variable,https://ui.adsabs.harvard.edu/abs/2002ApJ...573..812B/abstract
2213,4U 2238+60,22 39 20.90,61 16 26.80,HMXB,14.150669,0.076,8029.177714,"Gaia, 2CXO",Be/XRB ?,https://ui.adsabs.harvard.edu/abs/2000A%26A...361...85I/abstract
2218,EM* MWC 659,22 47 45.37,57 16 50.78,Em*,9.912913,0,3286.665007,"Gaia, 2SXPS",,
2225,BD+61 2355,22 52 29.19,62 41 09.81,Em*,9.537966,0.514,565.965987,"Gaia, 4XMM",,
