#,Be star,Vmag,Type,vsini,RA,Dec,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,rpgeo,b_rpgeo,B_rpgeo,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,HR1,HR2,N_H,Flux (0.3-1 keV),Flux (1-2 keV),Flux (2-10 keV),X-ray source,Gamma
892,V725 Tau,9.19,O9.7IIe,,84.727375,26.315786111111112,0.5245,-0.59,-2.88,0.123,25.2,8.601999,8.987547,8.010447,,9.074263038714267e-13,,,,6.828999996185303,0.01899999938905239,6.63100004196167,0.014000000432133675,6.172999858856201,0.014000000432133675,5.210999965667725,0.035999998450279236,8.368,0.021,8.272,0.026,8.157,0.027,0.7249000113334844,0.7738836721504805,,3.708451170758158e-13,2.32523e-12,1.824144045776049e-11,XMM,0.48910000920295715
892,V725 Tau,9.19,O9.7IIe,,84.727375,26.315786111111112,0.5245,-0.59,-2.88,0.123,25.2,8.601999,8.987547,8.010447,,9.074263038714267e-13,,,,6.828999996185303,0.01899999938905239,6.63100004196167,0.014000000432133675,6.172999858856201,0.014000000432133675,5.210999965667725,0.035999998450279236,8.368,0.021,8.272,0.026,8.157,0.027,-0.8026505850149318,-0.4094577502054396,32.637,2.563964832536117e-12,2.806960838387323e-13,1.17607567048027e-13,CXO,0.561029
914,AX J0544.1-7100,15.235,Be,,86.02158333333334,-71.0140611111111,0.0382,1.979,0.776,0.0,0.0,15.307679,15.332313,15.240456,,1.885989906569363e-15,,,,14.411289728085286,0.005236055652148863,14.278340109174387,0.012086106609835027,,,,,15.133,0.063,15.025,0.088,15.168,0.193,0.906,-0.06999999999999999,,4.485840545113454e-15,9.09575753083643e-14,7.905658414652224e-14,XRT,3.6040000915527344
926,V1167 Tau,8.48,B1Vnne,,88.37958333333333,25.742241666666665,0.8878,-0.813,-3.655,0.166,34.3,8.266228,8.384643,7.979243,,1.2362883141486649e-12,,,,6.888999938964844,0.017999999225139618,6.539000034332275,0.008999999612569809,5.877999782562256,0.014999999664723873,5.1579999923706055,0.032999999821186066,7.521,0.02,7.361,0.029,,,-0.29399999999999993,0.597,,1.7903438025282882e-13,9.768027237905499e-14,3.870853473681162e-13,XRT,
942,HD 42054,5.843,B4IVe,,91.76529166666667,-34.312022222222225,3.4337,2.009,-0.203,0.463,321.0,5.763813,5.708571,5.801548,,1.2390412473197722e-11,,,,5.734615685829942,0.0002774418510836788,5.096747526192932,0.0006233038605251525,4.985000133514404,0.014000000432133675,4.238999843597412,0.02199999988079071,5.866,0.02,5.838,0.031,5.699,0.02,0.09397321305149073,0.42587417021301543,,5.987749688448145e-13,7.22985e-13,1.79557439060692e-12,XMM,
972,PZ Gem,6.64,O9pe,,96.81575,14.889227777777778,1.1281,-0.715,-0.519,0.268,81.9,6.552404,6.675784,6.314524,,5.993070190415995e-12,855.646912,832.862732,884.268982,5.429999828338623,0.028999999165534973,4.989999771118164,0.03400000184774399,4.252999782562256,0.014000000432133675,3.634999990463257,0.023000000044703484,5.906,0.023,5.761,0.021,5.534,0.017,0.25915095262751336,0.5855364058957195,,2.52038520373215e-14,4.28366e-14,1.638720258448175e-13,XMM,
985,Cl* NGC 2244 PS 26,11.41,B7Ve,,97.87395833333333,4.9137361111111115,0.6626,-2.091,0.037,0.086,8.51,12.281327,12.460751,11.9376,,3.062528677712454e-14,,,,8.090999603271484,0.013000000268220901,6.997000217437744,0.008999999612569809,3.8580000400543213,0.013000000268220901,2.1059999465942383,0.01899999938905239,11.449,0.024,10.887,0.025,9.69,0.021,-0.48082729749919345,0.3024341347198226,,2.8605157910097603e-15,1.0028865055856244e-15,1.8725022010645066e-15,CXO,
987,Cl* NGC 2244 JOHN 33,12.006,B6Vne,,98.06450000000001,4.922280555555556,0.6008,-1.731,0.193,0.127,18.3,11.884101,12.065364,11.553444,,4.4154051936587955e-14,,,,10.694999694824219,0.010999999940395355,10.845999717712402,0.00800000037997961,10.479000091552734,0.22699999809265137,7.800000190734863,,11.148,0.021,10.998,0.021,10.958,0.023,-0.4164666289373089,-0.11855330341617414,,5.218105588926315e-15,2.1496720661549785e-15,1.6939928885497532e-15,CXO,
990,HD 259440,9.12,B0pe,,98.246875,5.8003277777777775,0.5404,-0.026,-0.428,0.102,10.6,8.879788,9.236007,8.30983,,7.025799698589425e-13,,,,6.714000225067139,0.02199999988079071,6.0970001220703125,0.010999999940395355,5.340000152587891,0.014999999664723873,4.5289998054504395,0.03200000151991844,7.64,0.023,7.39,0.049,6.966,0.02,0.6297811512459235,0.7479466039040462,,1.3377666854818753e-14,5.88913e-14,4.084009556265083e-13,XMM,1.4470000267028809
1001,15 Mon,4.64,B1Ve,70.0,100.24441666666667,9.895755555555555,-1.3292,0.903,-6.446,5.228,37400.0,4.543516,4.513306,4.873792,,3.8124535772409644e-11,4215.17432,2387.38159,5894.33203,6.186999797821045,0.03400000184774399,5.10099983215332,0.01600000075995922,5.564000129699707,0.017999999225139618,5.335999965667725,0.21199999749660492,5.202,0.023,5.322,0.021,5.34,0.021,-0.08306593373358648,0.7435271957433556,26.1717,2.0690381304054098e-13,1.7516676382137584e-13,1.1908007845046598e-12,CXO,6.25489
